full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Jerry Nelson,Jerry,Nelson,nelsonjerry@century21.com,(512) 682-9562,Windermere Real Estate,Atlanta,GA,Atlanta,GA392085,GA,7,25,8125000,95,A,A,4.2,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Dennis Morgan,Dennis,Morgan,morgandennis@remax.com,(213) 288-3160,eXp Realty,Las Vegas,NV,Las Vegas,NV662965,NV,4,15,6375000,69,B,B,4.6,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Andrew Scott,Andrew,Scott,ascott@realtor.com,(213) 719-8841,Weichert Realtors,New York,NY,New York,NY177503,NY,15,16,13600000,91,A,A,4.3,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Nicole Garcia,Nicole,Garcia,garcia.n@yahoo.com,(210) 347-5563,Redfin,Lincoln,NE,Lincoln,NE226214,NE,5,8,1840000,72,C,C,4.7,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Brandon Hughes,Brandon,Hughes,hughesbrandon@remax.com,(970) 684-7172,eXp Realty,Shreveport,LA,Shreveport,LA594374,LA,4,3,690000,78,C,C,3.9,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Samantha Kim,Samantha,Kim,samanthakim@kw.com,(970) 952-2504,Century 21,Detroit,MI,Detroit,MI664789,MI,5,12,3300000,82,B,B,4.5,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Catherine Gray,Catherine,Gray,graycatherine@weichert.com,(423) 840-6632,Weichert Realtors,Phoenix,AZ,Phoenix,AZ239752,AZ,12,12,5400000,92,A,A,3.3,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Jack Martin,Jack,Martin,jackmartin93@outlook.com,(408) 253-4986,JLL,Miami,FL,Miami,FL547618,FL,7,50,20000000,84,A,A,4.2,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Charles Ramos,Charles,Ramos,charles_ramos@century21.com,(313) 669-3889,Corcoran Global Living,Charlotte,NC,Charlotte,NC373916,NC,5,10,3100000,82,B,B,4.1,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
James Wright,James,Wright,james_wright@aol.com,(501) 704-9702,eXp Realty,San Diego,CA,San Diego,CA781992,CA,3,40,30000000,95,A,A,3.3,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Michael Hill,Michael,Hill,michaelhill@century21.com,(405) 422-7707,Redfin,Minneapolis,MN,Minneapolis,MN298543,MN,4,16,5600000,81,A,A,4.8,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Debra Lewis,Debra,Lewis,debra.lewis@gmail.com,(541) 695-4370,Marcus & Millichap,San Diego,CA,San Diego,CA771766,CA,5,30,22500000,75,A,A,4.9,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Mary Collins,Mary,Collins,collins.m@kw.com,(504) 791-4533,Coldwell Banker,Louisville,KY,Louisville,KY170837,KY,4,28,6300000,94,B,B,4.4,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Rachel Parker,Rachel,Parker,rachel.parker@sothebysrealty.com,(408) 492-7436,Coldwell Banker,Seattle,WA,Seattle,WA905990,WA,5,40,24000000,87,A,A,4.4,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Larry Morris,Larry,Morris,larry_morris@coldwellbanker.com,(912) 596-2649,Realty ONE Group,Pittsburgh,PA,Pittsburgh,PA272840,PA,5,8,2320000,66,B,B,4.4,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Alexander Reyes,Alexander,Reyes,alexander_reyes@yahoo.com,(843) 482-9801,CBRE,Phoenix,AZ,Phoenix,AZ384073,AZ,15,25,11250000,86,A,A,4.0,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Andrew Green,Andrew,Green,andrew.green@gmail.com,(912) 603-2768,Marcus & Millichap,Lubbock,TX,Lubbock,TX835153,TX,3,8,2800000,85,C,C,4.5,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Andrew Howard,Andrew,Howard,howardandrew@yahoo.com,(402) 727-9096,United Real Estate,Phoenix,AZ,Phoenix,AZ833561,AZ,6,25,11250000,100,A,A,4.9,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Deborah Scott,Deborah,Scott,scott.d@remax.com,(901) 902-6060,Realty ONE Group,Boston,MA,Boston,MA831010,MA,3,25,16250000,96,A,A,3.9,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Mary Turner,Mary,Turner,mturner@homesmart.com,(813) 730-6289,JPMorgan Real Estate,Houston,TX,Houston,TX999952,TX,7,50,17500000,97,A,A,4.0,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Brenda Evans,Brenda,Evans,brendaevans66@coldwellbanker.com,(412) 495-6421,Century 21,Riverside,CA,Riverside,CA564852,CA,3,10,7500000,83,B,B,3.5,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Patrick Torres,Patrick,Torres,ptorres@realtor.com,(585) 382-3314,Keller Williams,Kansas City,MO,Kansas City,MO908977,MO,5,12,3120000,79,B,B,3.3,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Kenneth Ramos,Kenneth,Ramos,kenneth_ramos@aol.com,(713) 985-1838,Independent Agent,New York,NY,New York,NY406583,NY,4,16,13600000,70,A,A,3.3,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Raymond Morgan,Raymond,Morgan,raymondmorgan@kw.com,(615) 773-8780,Redfin,Austin,TX,Austin,TX355508,TX,4,8,2800000,74,A,A,4.9,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Kevin Davis,Kevin,Davis,kevin.davis@remax.com,(601) 443-1174,Sotheby's International Realty,Minneapolis,MN,Minneapolis,MN114713,MN,7,50,17500000,89,A,A,4.7,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
David Jimenez,David,Jimenez,jimenez.d@gmail.com,(970) 753-2568,Redfin,Columbus,OH,Columbus,OH802428,OH,5,12,3000000,71,B,B,5.0,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
John Cruz,John,Cruz,johncruz89@exp.com,(208) 516-8317,Better Homes and Gardens Real Estate,Cleveland,OH,Cleveland,OH389048,OH,1,22,5500000,89,B,B,3.8,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Thomas Carter,Thomas,Carter,carter.t@exp.com,(608) 421-5108,Redfin,Wichita,KS,Wichita,KS960377,KS,6,20,4000000,71,C,C,4.6,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Lisa Bailey,Lisa,Bailey,bailey.l@realtor.com,(575) 987-4735,JLL,Houston,TX,Houston,TX374047,TX,5,25,8750000,80,A,A,3.2,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Patrick Wright,Patrick,Wright,patrick_wright@compass.com,(520) 456-2204,Weichert Realtors,Los Angeles,CA,Los Angeles,CA213984,CA,2,25,18750000,90,A,A,4.0,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Steven Reed,Steven,Reed,steven.reed@outlook.com,(804) 335-9913,Zillow Premier Agent,Los Angeles,CA,Los Angeles,CA471777,CA,8,16,12000000,98,A,A,3.1,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Nicole Jimenez,Nicole,Jimenez,nicole.jimenez@gmail.com,(704) 921-8320,Zillow Premier Agent,Fresno,CA,Fresno,CA484717,CA,6,15,11250000,73,B,B,3.0,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Eric Mitchell,Eric,Mitchell,ericmitchell@weichert.com,(615) 315-1110,Windermere Real Estate,Chattanooga,TN,Chattanooga,TN750599,TN,7,8,2560000,71,C,C,3.8,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Linda Stewart,Linda,Stewart,stewart.l@homesmart.com,(716) 989-3719,United Real Estate,Charleston,SC,Charleston,SC566396,SC,5,3,870000,66,C,C,4.9,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Gregory Martin,Gregory,Martin,gregorymartin80@kw.com,(575) 913-3697,Cushman & Wakefield,Pittsburgh,PA,Pittsburgh,PA483959,PA,6,18,5220000,70,B,B,5.0,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
James Cruz,James,Cruz,james_cruz@remax.com,(316) 982-9598,RE/MAX,Kansas City,MO,Kansas City,MO103721,MO,4,12,3120000,84,B,B,4.6,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Paul Young,Paul,Young,pyoung@weichert.com,(314) 331-2960,Cushman & Wakefield,Charleston,SC,Charleston,SC744318,SC,5,12,3480000,72,C,C,3.4,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Donald Gutierrez,Donald,Gutierrez,donaldgutierrez@remax.com,(951) 632-3465,ERA Real Estate,Denver,CO,Denver,CO858224,CO,6,60,33000000,90,A,A,4.4,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Steven Kim,Steven,Kim,kimsteven@sothebysrealty.com,(619) 328-7998,Local Brokerage,Little Rock,AR,Little Rock,AR546192,AR,3,12,2340000,73,C,C,4.1,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Scott Roberts,Scott,Roberts,scott.roberts@realtor.com,(504) 221-6446,Local Brokerage,Louisville,KY,Louisville,KY112498,KY,10,18,4050000,75,B,B,4.3,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Robert Miller,Robert,Miller,robertmiller@compass.com,(206) 214-9082,Independent Agent,Montgomery,AL,Montgomery,AL662161,AL,5,6,1320000,84,C,C,4.9,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Kimberly Phillips,Kimberly,Phillips,kimberlyphillips@century21.com,(801) 489-2403,Zillow Premier Agent,Los Angeles,CA,Los Angeles,CA688488,CA,8,20,15000000,90,A,A,4.0,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Jennifer Ramirez,Jennifer,Ramirez,ramirez.j@remax.com,(318) 892-5960,JLL,Phoenix,AZ,Phoenix,AZ334398,AZ,6,50,22500000,94,A,A,3.1,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Maria Morgan,Maria,Morgan,maria_morgan@coldwellbanker.com,(513) 650-8181,Marcus & Millichap,Portland,OR,Portland,OR702570,OR,10,12,6000000,85,A,A,4.9,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Deborah Foster,Deborah,Foster,fosterdeborah@remax.com,(919) 501-6941,JPMorgan Real Estate,Charlotte,NC,Charlotte,NC164085,NC,2,8,2480000,80,B,B,4.1,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Maria Ramirez,Maria,Ramirez,mramirez@compass.com,(479) 672-5697,Zillow Premier Agent,Los Angeles,CA,Los Angeles,CA631355,CA,4,30,22500000,92,A,A,4.3,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Jerry Howard,Jerry,Howard,jerry.howard@outlook.com,(614) 240-7136,Century 21,Madison,WI,Madison,WI219186,WI,2,10,2750000,78,C,C,4.4,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Raymond Flores,Raymond,Flores,raymond.flores@remax.com,(970) 378-1096,Better Homes and Gardens Real Estate,Washington,DC,Washington,DC937122,DC,6,20,14000000,81,A,A,4.0,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Sharon Clark,Sharon,Clark,sharonclark36@outlook.com,(334) 912-6230,Cushman & Wakefield,Spokane,WA,Spokane,WA535022,WA,3,6,3600000,62,C,C,4.6,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Linda Thomas,Linda,Thomas,linda_thomas@aol.com,(216) 672-3879,Corcoran Global Living,Wichita,KS,Wichita,KS371752,KS,4,8,1600000,64,C,C,3.1,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Scott Robinson,Scott,Robinson,scott.robinson@sothebysrealty.com,(415) 585-6096,JLL,Miami,FL,Miami,FL133649,FL,8,16,6400000,87,A,A,3.4,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Mary Wright,Mary,Wright,mary_wright@exp.com,(512) 785-4563,Redfin,Dallas,TX,Dallas,TX391639,TX,5,16,5600000,88,A,A,3.1,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Deborah Chavez,Deborah,Chavez,dchavez@outlook.com,(850) 930-8264,Sotheby's International Realty,Denver,CO,Denver,CO256335,CO,10,25,13750000,100,A,A,4.2,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Brandon Wright,Brandon,Wright,brandonwright@century21.com,(402) 834-5711,Redfin,Denver,CO,Denver,CO172182,CO,4,25,13750000,84,A,A,4.3,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Alexander Castillo,Alexander,Castillo,acastillo@weichert.com,(503) 460-5018,Weichert Realtors,Seattle,WA,Seattle,WA375655,WA,5,16,9600000,70,A,A,4.8,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Samuel Allen,Samuel,Allen,allen.s@gmail.com,(559) 967-5511,Redfin,Miami,FL,Miami,FL419421,FL,10,20,8000000,79,A,A,3.5,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Christopher Brooks,Christopher,Brooks,christopherbrooks80@hotmail.com,(916) 801-4144,Windermere Real Estate,Nashville,TN,Nashville,TN917738,TN,2,30,9600000,91,A,A,4.2,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Larry Martinez,Larry,Martinez,lmartinez@outlook.com,(334) 982-9608,Century 21,San Jose,CA,San Jose,CA437129,CA,4,30,22500000,73,A,A,4.3,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Scott Myers,Scott,Myers,scott_myers@hotmail.com,(816) 888-5666,eXp Realty,Boston,MA,Boston,MA483371,MA,15,16,10400000,80,A,A,3.9,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Debra James,Debra,James,debrajames@remax.com,(617) 725-1050,Berkshire Hathaway HomeServices,Raleigh,NC,Raleigh,NC144945,NC,2,8,2480000,64,B,B,4.4,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Christopher Castillo,Christopher,Castillo,christopher_castillo@weichert.com,(951) 390-6317,Weichert Realtors,Birmingham,AL,Birmingham,AL169269,AL,7,10,2200000,70,B,B,3.2,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Barbara Sanders,Barbara,Sanders,sanders.b@aol.com,(260) 385-8428,HomeSmart,Seattle,WA,Seattle,WA922126,WA,5,20,12000000,82,A,A,4.2,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Brenda Rogers,Brenda,Rogers,brendarogers@yahoo.com,(702) 573-1999,Century 21,Boise,ID,Boise,ID122877,ID,6,10,4750000,68,C,C,3.8,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Betty Hill,Betty,Hill,betty_hill@hotmail.com,(615) 731-3788,JLL,Oklahoma City,OK,Oklahoma City,OK597206,OK,3,12,2520000,78,B,B,4.2,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Dennis Lopez,Dennis,Lopez,lopezdennis@homesmart.com,(716) 575-6513,Better Homes and Gardens Real Estate,Lubbock,TX,Lubbock,TX620904,TX,3,6,2100000,77,C,C,4.5,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Carolyn Morgan,Carolyn,Morgan,carolyn.morgan@exp.com,(916) 985-4941,JLL,Seattle,WA,Seattle,WA790983,WA,7,20,12000000,75,A,A,4.7,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Donald Kelly,Donald,Kelly,donald.kelly@homesmart.com,(585) 267-3433,Berkshire Hathaway HomeServices,Provo,UT,Provo,UT805588,UT,3,6,3000000,81,C,C,3.5,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Mary Wilson,Mary,Wilson,mary_wilson@century21.com,(412) 302-3809,Coldwell Banker,Houston,TX,Houston,TX753054,TX,6,25,8750000,100,A,A,4.7,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Timothy Walker,Timothy,Walker,timothy.walker@exp.com,(512) 390-5885,Redfin,Milwaukee,WI,Milwaukee,WI148696,WI,7,15,4125000,92,B,B,3.3,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Kevin Garcia,Kevin,Garcia,garcia.k@homesmart.com,(410) 693-8229,Sotheby's International Realty,Portland,OR,Portland,OR347522,OR,7,8,4000000,72,A,A,3.7,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Stephen Brooks,Stephen,Brooks,stephenbrooks97@kw.com,(407) 354-6846,Keller Williams,Tampa,FL,Tampa,FL561477,FL,6,22,8800000,100,B,B,4.8,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
John Reyes,John,Reyes,jreyes@weichert.com,(503) 393-1794,Century 21,Montgomery,AL,Montgomery,AL977354,AL,6,10,2200000,89,C,C,3.1,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Laura Thompson,Laura,Thompson,thompsonlaura@realtor.com,(619) 817-6130,HomeSmart,Austin,TX,Austin,TX455797,TX,2,50,17500000,80,A,A,4.3,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Debra Cox,Debra,Cox,coxdebra@weichert.com,(402) 476-4681,Corcoran Global Living,Denver,CO,Denver,CO164125,CO,5,30,16500000,74,A,A,4.3,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Kimberly Adams,Kimberly,Adams,kimberly_adams@yahoo.com,(716) 804-9417,Local Brokerage,Washington,DC,Washington,DC959421,DC,10,16,11200000,93,A,A,3.5,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Katherine Wright,Katherine,Wright,katherinewright@hotmail.com,(901) 638-5491,JLL,Oklahoma City,OK,Oklahoma City,OK462724,OK,4,10,2100000,74,B,B,4.1,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Donna Harris,Donna,Harris,donnaharris21@outlook.com,(313) 292-5139,Compass,Denver,CO,Denver,CO510231,CO,8,20,11000000,93,A,A,4.4,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Ashley Cox,Ashley,Cox,cox.a@yahoo.com,(412) 475-3335,Compass,Sacramento,CA,Sacramento,CA103428,CA,3,8,6000000,78,B,B,4.3,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Robert Green,Robert,Green,robertgreen51@hotmail.com,(210) 905-8878,CBRE,Oklahoma City,OK,Oklahoma City,OK617581,OK,2,15,3150000,81,B,B,3.9,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
James Jackson,James,Jackson,james.jackson@yahoo.com,(503) 938-7784,Better Homes and Gardens Real Estate,Rochester,NY,Rochester,NY449290,NY,10,18,15300000,95,B,B,3.1,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Dennis Lopez,Dennis,Lopez,dlopez@yahoo.com,(407) 316-4565,Independent Agent,Mobile,AL,Mobile,AL362614,AL,3,8,1760000,83,C,C,4.3,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Jacob Hill,Jacob,Hill,jhill@yahoo.com,(202) 873-3385,HomeSmart,Kansas City,MO,Kansas City,MO351624,MO,5,4,1040000,74,B,B,3.7,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
