id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority_tier,cream_fit_score,source,scraped_at
CREAM-20260706-00018,Frank Collins,frankc@outlook.com,(704) 406-8677,eXp Realty,Tucson,AZ,85442,11,67,A,70,Brokerage Listings,2026-07-06T20:20:06Z
CREAM-20260706-00019,Karen Torres,karen.torres@re/max.com,(469) 776-7641,RE/MAX,Aurora,CO,80136,5,18,A,94,Website Lead,2026-07-06T19:41:04Z
CREAM-20260706-00020,Jeffrey Watson,jeffreyw@icloud.com,(980) 436-4398,Halstead,Brooklyn,NY,14523,9,26,A,93,Website Lead,2026-07-06T03:34:32Z
CREAM-20260706-00021,Jerry Sanders,jsanders@outlook.com,(212) 206-9192,eXp Realty,Jacksonville,FL,32612,3,14,A,78,Referral Network,2026-07-06T16:39:43Z
CREAM-20260706-00022,Alexander Kim,alexander.kim@icloud.com,(303) 682-2307,Berkshire Hathaway,Phoenix,AZ,85840,1,5,A,79,Cold Outreach,2026-07-06T07:57:56Z
CREAM-20260706-00023,Ruth Gray,ruthgray@yahoo.com,(916) 911-5525,RE/MAX,Sacramento,CA,96131,4,16,A,83,Facebook,2026-07-06T17:18:52Z
CREAM-20260706-00024,Susan Sanchez,susans@outlook.com,(404) 870-8059,eXp Realty,Phoenix,AZ,85679,1,9,A,90,Referral Network,2026-07-06T03:40:48Z
CREAM-20260706-00025,Angela Campbell,angelac@herrealtors.com,(720) 305-1848,HER Realtors,Columbus,OH,43307,5,13,A,65,Trade Show,2026-07-06T14:49:22Z
CREAM-20260706-00026,Donna James,donnajames@gmail.com,(929) 882-1245,Allie Beth Allman,El Paso,TX,76535,18,73,A,63,Facebook,2026-07-06T23:05:37Z
CREAM-20260706-00027,Kenneth Young,kennethyoung@icloud.com,(720) 853-8194,Allie Beth Allman,Houston,TX,76204,16,26,A,72,NAR Directory,2026-07-06T10:34:36Z
CREAM-20260706-00028,Ruth Carter,ruthcarter@aol.com,(602) 537-8795,Keller Williams,Fort Worth,TX,78750,17,60,A,80,Facebook,2026-07-06T15:52:33Z
CREAM-20260706-00029,Carolyn Torres,carolynt@gmail.com,(407) 711-2901,Douglas Elliman,Dallas,TX,75418,16,43,A,98,MLS Database,2026-07-06T08:10:18Z
CREAM-20260706-00030,Daniel Jones,daniel.jones@berkshirehathaway.com,(916) 747-7325,Berkshire Hathaway,Phoenix,AZ,85566,3,15,A,93,Website Lead,2026-07-06T04:14:37Z
CREAM-20260706-00031,Stephanie Clark,stephaniec@re/max.com,(919) 968-2050,RE/MAX,Columbus,OH,44499,21,54,A,94,LinkedIn,2026-07-06T14:34:57Z
CREAM-20260706-00032,William Jenkins,william.jenkins@me.com,(713) 207-1334,RE/MAX,St. Petersburg,FL,32801,0,2,A,83,Referral Network,2026-07-06T13:49:39Z
CREAM-20260706-00033,Elizabeth Rogers,erogers@compass.com,(469) 365-7484,Compass,St. Petersburg,FL,32768,16,41,A,71,Realtor.com,2026-07-06T09:35:24Z
CREAM-20260706-00034,Richard Jackson,richard.jackson@cutlerrealestate.com,(614) 408-7234,Cutler Real Estate,Cleveland,OH,45547,1,8,A,98,Realtor.com,2026-07-06T13:45:04Z
CREAM-20260706-00035,John Peterson,johnp@icloud.com,(310) 242-2755,eXp Realty,Los Angeles,CA,95845,6,39,A,100,Realtor.com,2026-07-06T05:01:13Z
CREAM-20260706-00036,Linda Richardson,lrichardson@aol.com,(614) 394-9651,Corcoran Group,Queens,NY,10722,13,56,A,80,LinkedIn,2026-07-06T00:18:45Z
CREAM-20260706-00037,Robert Wilson,robert.wilson@coldwellbanker.com,(513) 627-7653,Coldwell Banker,Tucson,AZ,86609,18,63,A,87,Facebook,2026-07-06T02:59:21Z
CREAM-20260706-00038,Sandra Ortiz,sandraortiz@aol.com,(704) 928-7496,eXp Realty,Cleveland,OH,45908,1,6,A,71,Website Lead,2026-07-06T10:23:01Z
CREAM-20260706-00039,Eric Martinez,eric.martinez@kellerwilliams.com,(512) 884-4681,Keller Williams,Charlotte,NC,28893,5,8,A,96,Website Lead,2026-07-06T13:11:12Z
CREAM-20260706-00040,Michelle Clark,michellec@outlook.com,(602) 658-4200,Allie Beth Allman,El Paso,TX,79372,19,28,A,62,Brokerage Listings,2026-07-06T17:48:11Z
CREAM-20260706-00041,Sarah Russell,srussell@coldwellbanker.com,(916) 247-5170,Coldwell Banker,Jacksonville,FL,33727,5,21,A,73,Cold Outreach,2026-07-06T02:50:45Z
CREAM-20260706-00042,Christine Jimenez,christine.jimenez@outlook.com,(303) 393-1653,Keller Williams,Phoenix,AZ,85561,5,24,A,97,Cold Outreach,2026-07-06T12:53:58Z
CREAM-20260706-00043,Samuel Flores,samuelf@kellerwilliams.com,(714) 666-9830,Keller Williams,Charlotte,NC,27179,5,22,A,75,Facebook,2026-07-06T23:15:49Z
CREAM-20260706-00044,Daniel Morgan,danielm@hotmail.com,(919) 378-6292,Compass,Sacramento,CA,94936,1,3,A,99,NAR Directory,2026-07-06T14:20:33Z
CREAM-20260706-00045,Steven Jenkins,steven_jenkins@hotmail.com,(980) 597-2100,Douglas Elliman,Staten Island,NY,11214,12,54,A,68,Realtor.com,2026-07-06T01:10:42Z
CREAM-20260706-00046,Joseph Cox,josephc@outlook.com,(234) 274-9226,HomeSmart,Scottsdale,AZ,86788,9,33,A,76,MLS Database,2026-07-06T07:37:35Z
CREAM-20260706-00047,Carolyn Murphy,carolyn.murphy@aol.com,(718) 737-2489,Douglas Elliman,Austin,TX,78424,24,69,A,91,Website Lead,2026-07-06T00:39:19Z
CREAM-20260706-00048,Frank Roberts,froberts@compass.com,(334) 552-1026,Compass,Staten Island,NY,14548,25,28,A,99,Trade Show,2026-07-06T23:59:06Z
CREAM-20260706-00049,Jacob Carter,jacobc@compass.com,(513) 238-9140,Compass,Long Beach,CA,93868,25,57,A,67,MLS Database,2026-07-06T01:51:28Z
CREAM-20260706-00050,Emma Kim,emma_kim@icloud.com,(720) 901-5308,8z Real Estate,Denver,CO,80639,11,60,A,100,Website Lead,2026-07-06T17:32:35Z
CREAM-20260706-00051,Jessica Mendoza,jessica_mendoza@aol.com,(786) 905-1998,Sotheby's International,Staten Island,NY,10252,12,42,A,69,NAR Directory,2026-07-06T12:09:04Z
CREAM-20260706-00052,Robert Collins,robert.collins@icloud.com,(786) 396-9407,Coldwell Banker,Charlotte,NC,27155,2,12,A,98,Trade Show,2026-07-06T07:39:23Z
CREAM-20260706-00053,Kenneth Cooper,kennethc@coldwellbanker.com,(614) 358-8109,Coldwell Banker,Raleigh,NC,27647,9,38,A,72,Website Lead,2026-07-06T07:43:11Z
CREAM-20260706-00054,Kathleen Hill,kathleen_hill@me.com,(919) 873-4136,HomeSmart,Scottsdale,AZ,86343,4,12,A,100,Trade Show,2026-07-06T22:45:56Z
CREAM-20260706-00055,Cynthia Roberts,cynthia_roberts@gmail.com,(212) 670-4532,Douglas Elliman,Manhattan,NY,11798,21,41,A,88,Trade Show,2026-07-06T17:18:20Z
CREAM-20260706-00056,Ruth Rivera,ruth.rivera@gmail.com,(646) 237-3526,Coldwell Banker,Greensboro,NC,27484,17,62,A,60,Cold Outreach,2026-07-06T08:32:52Z
CREAM-20260706-00057,Michael Thomas,michael.thomas@exprealty.com,(919) 866-1909,eXp Realty,Raleigh,NC,28990,1,6,A,96,Brokerage Listings,2026-07-06T12:20:28Z
CREAM-20260706-00058,Samuel Wright,samuel.wright@yahoo.com,(214) 748-1495,Keller Williams Realty,Orlando,FL,33358,4,9,A,81,NAR Directory,2026-07-06T22:47:19Z
CREAM-20260706-00059,Christopher Chavez,cchavez@8zrealestate.com,(602) 658-7899,8z Real Estate,Colorado Springs,CO,81181,13,27,A,61,Referral Network,2026-07-06T20:24:31Z
CREAM-20260706-00060,Catherine Anderson,catherine_anderson@hotmail.com,(305) 688-2139,Sotheby's International,Manhattan,NY,10319,23,63,A,91,Cold Outreach,2026-07-06T13:03:00Z
CREAM-20260706-00061,John Howard,johnh@kellerwilliams.com,(305) 281-9513,Keller Williams,Houston,TX,79953,0,4,A,74,Referral Network,2026-07-06T02:09:16Z
CREAM-20260706-00062,Dorothy Jackson,dorothy_jackson@yahoo.com,(334) 259-8248,Keller Williams,Greensboro,NC,28226,4,17,A,75,Facebook,2026-07-06T13:48:34Z
CREAM-20260706-00063,Ruth Anderson,randerson@aol.com,(718) 491-9448,Coldwell Banker,Charlotte,NC,28674,3,13,A,60,MLS Database,2026-07-06T15:54:30Z
CREAM-20260706-00064,Emma Jackson,emmaj@livsothebys.com,(704) 496-9534,LIV Sotheby's,Colorado Springs,CO,80835,13,36,A,86,Realtor.com,2026-07-06T14:48:27Z
CREAM-20260706-00065,Debra Watson,debraw@compass.com,(415) 519-1333,Compass,Los Angeles,CA,90566,3,14,A,86,Realtor.com,2026-07-06T09:02:55Z
CREAM-20260706-00066,Jacob Watson,jacob.watson@kellerwilliamsrealty.com,(256) 596-7041,Keller Williams Realty,Los Angeles,CA,96582,0,2,A,88,Referral Network,2026-07-06T11:49:15Z
CREAM-20260706-00067,Ryan Moore,ryanm@berkshirehathaway.com,(407) 949-4535,Berkshire Hathaway,Cleveland,OH,45856,13,38,A,71,LinkedIn,2026-07-06T00:35:09Z
CREAM-20260706-00068,Mary Diaz,mary.diaz@icloud.com,(305) 769-5220,8z Real Estate,Aurora,CO,81194,21,59,A,92,Cold Outreach,2026-07-06T06:52:54Z
CREAM-20260706-00069,Betty Nguyen,bnguyen@me.com,(646) 916-9839,Briggs Freeman Sotheby's,Fort Worth,TX,77534,3,9,A,98,NAR Directory,2026-07-06T18:58:26Z
CREAM-20260706-00070,Angela Lewis,angelal@aol.com,(718) 738-2357,Cutler Real Estate,Columbus,OH,44783,5,22,A,90,Realtor.com,2026-07-06T11:42:23Z
CREAM-20260706-00071,Aaron Collins,aaronc@alliebethallman.com,(404) 500-4408,Allie Beth Allman,Dallas,TX,78670,14,28,A,98,Website Lead,2026-07-06T10:58:33Z
CREAM-20260706-00072,Susan Martinez,susan.martinez@aol.com,(407) 649-4522,Brown Harris Stevens,Manhattan,NY,11597,5,15,A,96,Website Lead,2026-07-06T03:49:47Z
CREAM-20260706-00073,Ryan Adams,radams@exprealty.com,(972) 487-8337,eXp Realty,Long Beach,CA,94490,4,25,A,70,LinkedIn,2026-07-06T10:14:05Z
CREAM-20260706-00074,Margaret Flores,margaretflores@icloud.com,(305) 214-7828,Long Realty,Mesa,AZ,86413,2,10,A,86,LinkedIn,2026-07-06T13:58:07Z
CREAM-20260706-00075,David Miller,davidm@gmail.com,(310) 741-9077,Compass,Raleigh,NC,28305,4,12,A,63,MLS Database,2026-07-06T15:57:47Z
CREAM-20260706-00076,Jonathan Torres,jtorres@icloud.com,(512) 326-7407,Coldwell Banker,Colorado Springs,CO,80793,22,31,A,98,Facebook,2026-07-06T18:18:43Z
CREAM-20260706-00077,Paul Kelly,paulk@berkshirehathawayhomeservices.com,(234) 330-1219,Berkshire Hathaway HomeServices,Oakland,CA,91451,4,21,A,86,MLS Database,2026-07-06T08:10:10Z
CREAM-20260706-00078,Catherine Kim,catherine.kim@outlook.com,(469) 657-3984,Berkshire Hathaway,Houston,TX,78564,1,12,A,85,NAR Directory,2026-07-06T07:52:46Z
CREAM-20260706-00079,Jennifer Howard,jenniferh@exprealty.com,(512) 210-2751,eXp Realty,Raleigh,NC,28505,3,8,A,70,Referral Network,2026-07-06T20:02:42Z
CREAM-20260706-00080,David Carter,davidc@gmail.com,(929) 346-4017,Compass,Tampa,FL,32472,3,15,A,95,Cold Outreach,2026-07-06T13:42:50Z
CREAM-20260706-00081,Barbara Harris,barbarah@century21.com,(513) 254-1960,Century 21,Fort Lauderdale,FL,32650,21,42,A,75,Trade Show,2026-07-06T02:28:17Z
CREAM-20260706-00082,Eric Anderson,ericanderson@yahoo.com,(469) 316-9771,eXp Realty,Greensboro,NC,28955,21,40,A,78,Realtor.com,2026-07-06T21:45:21Z
CREAM-20260706-00083,Michael Hughes,mhughes@me.com,(714) 457-4098,Douglas Elliman,New York City,NY,14698,2,6,A,88,Facebook,2026-07-06T21:24:37Z
CREAM-20260706-00084,Donald Thomas,dthomas@outlook.com,(310) 716-2154,Russell Lyon Sotheby's,Tucson,AZ,85563,4,21,A,65,MLS Database,2026-07-06T22:14:26Z
CREAM-20260706-00085,Debra Jones,debra.jones@allentate.com,(718) 574-5164,Allen Tate,Charlotte,NC,28330,12,41,A,81,Cold Outreach,2026-07-06T08:24:34Z
CREAM-20260706-00086,Rachel Ramirez,rramirez@gmail.com,(407) 249-7748,Keller Williams,Columbus,OH,43608,2,6,A,71,MLS Database,2026-07-06T06:19:54Z
CREAM-20260706-00087,Karen Perez,kperez@aol.com,(714) 767-3149,Keller Williams,Phoenix,AZ,85324,4,12,A,68,Referral Network,2026-07-06T05:37:09Z
CREAM-20260706-00088,Patricia Ramos,patriciaramos@outlook.com,(469) 535-9868,Berkshire Hathaway,Aurora,CO,80765,1,4,A,82,Realtor.com,2026-07-06T12:48:43Z
CREAM-20260706-00089,Cynthia Lopez,cynthialopez@yahoo.com,(303) 682-8045,8z Real Estate,Denver,CO,80793,5,21,A,95,NAR Directory,2026-07-06T21:30:19Z
CREAM-20260706-00090,David Robinson,davidr@aol.com,(614) 889-1318,Coldwell Banker,Aurora,CO,81327,5,16,A,94,Realtor.com,2026-07-06T23:53:30Z
CREAM-20260706-00091,Brenda Ramirez,brenda_ramirez@hotmail.com,(972) 292-3993,Sotheby's International,Staten Island,NY,11969,13,28,A,93,NAR Directory,2026-07-06T06:42:33Z
CREAM-20260706-00092,Kenneth Edwards,kennethe@kellerwilliamsrealty.com,(972) 449-6240,Keller Williams Realty,Jacksonville,FL,32682,3,11,A,65,Facebook,2026-07-06T10:56:13Z
CREAM-20260706-00093,Samantha Reyes,samanthar@outlook.com,(720) 644-2488,Berkshire Hathaway,Orlando,FL,32983,1,3,A,60,LinkedIn,2026-07-06T14:16:05Z
CREAM-20260706-00094,Dennis Parker,dparker@kellerwilliamsrealty.com,(334) 946-4905,Keller Williams Realty,Sacramento,CA,90678,11,62,A,100,NAR Directory,2026-07-06T07:55:46Z
CREAM-20260706-00095,Ruth Russell,rrussell@hotmail.com,(469) 964-4127,Douglas Elliman,Fort Worth,TX,77481,24,69,A,68,Trade Show,2026-07-06T17:29:03Z
CREAM-20260706-00096,Susan Davis,susan_davis@aol.com,(718) 324-6884,RE/MAX,Aurora,CO,81466,13,74,A,83,Realtor.com,2026-07-06T08:16:51Z
CREAM-20260706-00097,Kathleen Carter,kathleenc@gmail.com,(805) 460-4919,HER Realtors,Columbus,OH,45223,0,5,A,98,Cold Outreach,2026-07-06T19:50:47Z
CREAM-20260706-00098,Alexander Williams,alexander.williams@coldwellbanker.com,(718) 401-3195,Coldwell Banker,Cincinnati,OH,44186,5,11,A,65,Trade Show,2026-07-06T06:32:15Z
CREAM-20260706-00099,Cynthia Evans,cynthiae@re/max.com,(602) 779-9493,RE/MAX,Colorado Springs,CO,81421,0,5,A,91,Website Lead,2026-07-06T07:43:32Z
CREAM-20260706-00100,Betty Martin,betty.martin@douglaselliman.com,(929) 249-1384,Douglas Elliman,Fort Worth,TX,76373,5,25,A,85,MLS Database,2026-07-06T12:08:42Z
CREAM-20260706-00101,Amy Sanchez,amysanchez@hotmail.com,(713) 403-4347,8z Real Estate,Denver,CO,80478,25,30,A,88,NAR Directory,2026-07-06T15:20:40Z
CREAM-20260706-00102,Kevin Cox,kevinc@hotmail.com,(512) 646-6538,Compass,Colorado Springs,CO,81949,0,5,A,82,Brokerage Listings,2026-07-06T15:08:10Z
CREAM-20260706-00103,Sarah Long,slong@hotmail.com,(234) 218-2943,Coldwell Banker,Charlotte,NC,27593,4,20,A,87,LinkedIn,2026-07-06T15:14:46Z
CREAM-20260706-00104,Debra Morris,dmorris@yahoo.com,(614) 309-9747,RE/MAX,Los Angeles,CA,94242,16,46,A,67,Brokerage Listings,2026-07-06T11:59:28Z
CREAM-20260706-00105,Scott Diaz,sdiaz@icloud.com,(704) 625-8047,RE/MAX,Cincinnati,OH,44617,3,13,A,61,Brokerage Listings,2026-07-06T11:58:32Z
CREAM-20260706-00106,Laura Richardson,lrichardson@icloud.com,(919) 349-5569,Sotheby's International,Los Angeles,CA,93619,19,49,A,99,Cold Outreach,2026-07-06T15:22:30Z
CREAM-20260706-00107,Sandra Anderson,sanderson@exprealty.com,(602) 743-9707,eXp Realty,Raleigh,NC,27991,23,76,A,62,Facebook,2026-07-06T18:52:10Z
CREAM-20260706-00108,Betty Reed,bettyreed@aol.com,(929) 374-3698,eXp Realty,Cincinnati,OH,43832,10,56,A,91,MLS Database,2026-07-06T00:41:58Z
CREAM-20260706-00109,Linda Kelly,lindakelly@me.com,(646) 275-4315,eXp Realty,San Diego,CA,94335,24,71,A,76,Realtor.com,2026-07-06T07:06:17Z
CREAM-20260706-00110,Maria Lee,maria.lee@berkshirehathaway.com,(214) 412-8481,Berkshire Hathaway,Scottsdale,AZ,86270,11,45,A,89,Website Lead,2026-07-06T13:01:33Z
CREAM-20260706-00111,Timothy Powell,timothy.powell@berkshirehathawayhomeservices.com,(704) 491-5770,Berkshire Hathaway HomeServices,San Diego,CA,91493,1,6,A,98,Cold Outreach,2026-07-06T13:40:45Z
CREAM-20260706-00112,Larry Mitchell,larrymitchell@me.com,(602) 592-2978,Century 21,Jacksonville,FL,32277,2,4,A,77,Referral Network,2026-07-06T20:22:01Z
CREAM-20260706-00113,William Nguyen,william.nguyen@exprealty.com,(980) 449-1841,eXp Realty,Long Beach,CA,96170,3,9,A,69,Trade Show,2026-07-06T22:17:26Z
CREAM-20260706-00114,Robert Gonzalez,robertg@sothebysinternational.com,(916) 631-7309,Sotheby's International,Manhattan,NY,13790,3,13,A,95,NAR Directory,2026-07-06T07:54:46Z
CREAM-20260706-00115,Helen Gomez,hgomez@gmail.com,(786) 528-3847,Berkshire Hathaway,Charlotte,NC,28880,8,40,A,60,LinkedIn,2026-07-06T12:09:26Z
CREAM-20260706-00116,Ryan Wright,ryanw@exprealty.com,(805) 496-6096,eXp Realty,Columbus,OH,45969,3,11,A,61,Facebook,2026-07-06T15:54:32Z
CREAM-20260706-00117,Frank Martin,frankmartin@hotmail.com,(614) 271-2308,Sotheby's International,Manhattan,NY,12226,16,40,A,89,LinkedIn,2026-07-06T22:52:08Z
CREAM-20260706-00118,Scott Chavez,scottc@icloud.com,(916) 850-4605,Keller Williams,Houston,TX,78176,4,16,A,89,Cold Outreach,2026-07-06T03:52:54Z
CREAM-20260706-00119,Shirley Jones,shirleyj@coldwellbanker.com,(334) 358-5043,Coldwell Banker,Greensboro,NC,28810,7,28,A,68,Referral Network,2026-07-06T08:08:16Z
CREAM-20260706-00120,Catherine Mitchell,cmitchell@cutlerrealestate.com,(404) 806-3824,Cutler Real Estate,Columbus,OH,44884,1,5,A,89,LinkedIn,2026-07-06T21:40:40Z
CREAM-20260706-00121,Alexander Mendoza,alexandermendoza@gmail.com,(212) 728-7032,Compass,Charlotte,NC,28550,5,25,A,90,Website Lead,2026-07-06T02:43:42Z
CREAM-20260706-00122,Michael Moore,mmoore@kellerwilliamsrealty.com,(786) 256-3875,Keller Williams Realty,San Diego,CA,92262,5,17,A,90,MLS Database,2026-07-06T06:26:53Z
CREAM-20260706-00123,Paul Cruz,paul.cruz@compass.com,(805) 981-7346,Compass,Queens,NY,10272,1,6,A,76,Trade Show,2026-07-06T06:09:50Z
CREAM-20260706-00124,Elizabeth Morgan,elizabethm@me.com,(512) 890-1389,Corcoran Group,New York City,NY,11695,16,57,A,92,Realtor.com,2026-07-06T09:45:48Z
CREAM-20260706-00125,Joshua Rodriguez,joshuarodriguez@outlook.com,(415) 270-7180,Berkshire Hathaway HomeServices,San Francisco,CA,95399,0,0,A,70,MLS Database,2026-07-06T13:02:22Z
CREAM-20260706-00126,Jack Wilson,jwilson@berkshirehathaway.com,(214) 303-2913,Berkshire Hathaway,Cleveland,OH,43318,17,36,A,92,Brokerage Listings,2026-07-06T04:19:54Z
CREAM-20260706-00127,Mark Morgan,mark_morgan@me.com,(720) 637-6118,Douglas Elliman,New York City,NY,10871,2,11,A,85,Referral Network,2026-07-06T10:57:57Z
CREAM-20260706-00128,Betty King,betty.king@kellerwilliams.com,(786) 969-2607,Keller Williams,Phoenix,AZ,85838,0,2,A,72,Trade Show,2026-07-06T04:57:42Z
CREAM-20260706-00129,Janet Rivera,janetr@aol.com,(929) 788-3941,Coldwell Banker,St. Petersburg,FL,32216,5,19,A,96,Brokerage Listings,2026-07-06T09:19:17Z
CREAM-20260706-00130,Michael Ramirez,michaelr@exprealty.com,(212) 482-1725,eXp Realty,Colorado Springs,CO,80613,2,8,A,62,Brokerage Listings,2026-07-06T02:47:18Z
CREAM-20260706-00131,Matthew Chavez,mchavez@re/max.com,(972) 474-2448,RE/MAX,Austin,TX,79568,3,19,A,73,Facebook,2026-07-06T07:03:39Z
CREAM-20260706-00132,Aaron Baker,aaronb@yahoo.com,(334) 871-7580,eXp Realty,Houston,TX,79409,4,12,A,90,Website Lead,2026-07-06T02:42:22Z
CREAM-20260706-00133,Rachel Richardson,rachel_richardson@outlook.com,(929) 439-6570,Keller Williams Realty,San Diego,CA,90357,9,24,A,71,Realtor.com,2026-07-06T08:03:54Z
CREAM-20260706-00134,Jerry Wright,jwright@me.com,(704) 424-1286,eXp Realty,Cleveland,OH,45663,1,3,A,68,MLS Database,2026-07-06T10:56:02Z
CREAM-20260706-00135,Angela Martinez,angela_martinez@yahoo.com,(305) 768-6767,eXp Realty,Orlando,FL,32374,18,46,A,95,Facebook,2026-07-06T01:27:10Z
CREAM-20260706-00136,Karen Clark,karenc@outlook.com,(980) 500-7151,RE/MAX,Cleveland,OH,43657,1,12,A,95,Facebook,2026-07-06T05:20:09Z
CREAM-20260706-00137,Laura Wilson,lwilson@yahoo.com,(512) 370-2347,RE/MAX,Phoenix,AZ,86928,20,56,A,67,LinkedIn,2026-07-06T13:40:54Z
CREAM-20260706-00138,Sarah Allen,sallen@outlook.com,(980) 732-2352,Coldwell Banker,San Antonio,TX,77715,1,8,A,82,Referral Network,2026-07-06T18:28:39Z
CREAM-20260706-00139,Amy Bailey,abailey@re/max.com,(212) 966-8158,RE/MAX,Raleigh,NC,28648,4,18,A,100,NAR Directory,2026-07-06T00:59:00Z
CREAM-20260706-00140,Diane Watson,dianew@outlook.com,(214) 929-3006,Sotheby's International,New York City,NY,12750,25,26,A,71,Brokerage Listings,2026-07-06T23:07:14Z
CREAM-20260706-00141,Donna Morris,donna.morris@pacificsothebys.com,(415) 780-9468,Pacific Sotheby's,Oakland,CA,92988,17,36,A,69,Referral Network,2026-07-06T18:32:20Z
CREAM-20260706-00142,Michelle Baker,michelle_baker@outlook.com,(972) 591-4172,Compass,Greensboro,NC,27599,9,28,A,82,Website Lead,2026-07-06T18:16:58Z
CREAM-20260706-00143,Mark Alvarez,mark.alvarez@me.com,(929) 766-5971,Keller Williams Realty,Fort Lauderdale,FL,34151,19,48,A,70,Cold Outreach,2026-07-06T18:08:05Z
CREAM-20260706-00144,Deborah Lewis,deborahlewis@aol.com,(303) 825-2336,Long Realty,Scottsdale,AZ,85248,10,31,A,87,Referral Network,2026-07-06T12:10:58Z
CREAM-20260706-00145,Gregory Wright,gregoryw@aol.com,(704) 701-2798,Douglas Elliman,Manhattan,NY,14855,18,55,A,75,Referral Network,2026-07-06T11:34:14Z
CREAM-20260706-00146,Kenneth Collins,kcollins@berkshirehathaway.com,(919) 745-8013,Berkshire Hathaway,Cincinnati,OH,45327,24,60,A,84,Brokerage Listings,2026-07-06T04:27:58Z
CREAM-20260706-00147,Donna Phillips,donna_phillips@hotmail.com,(407) 616-1924,RE/MAX,Long Beach,CA,93933,5,9,A,93,Brokerage Listings,2026-07-06T08:44:32Z
CREAM-20260706-00148,Aaron Bennett,aaronbennett@outlook.com,(212) 486-8620,Berkshire Hathaway,Columbus,OH,43314,10,38,A,67,NAR Directory,2026-07-06T12:27:03Z
CREAM-20260706-00149,Brian Morgan,bmorgan@berkshirehathawayhomeservices.com,(718) 918-2653,Berkshire Hathaway HomeServices,San Jose,CA,91140,6,17,A,60,MLS Database,2026-07-06T08:37:19Z
CREAM-20260706-00150,Carol Roberts,carol.roberts@icloud.com,(212) 429-3968,Berkshire Hathaway,Aurora,CO,81391,1,10,A,78,LinkedIn,2026-07-06T10:23:41Z
CREAM-20260706-00151,Margaret Brown,margaretb@homesmart.com,(310) 557-7390,HomeSmart,Phoenix,AZ,86726,25,52,A,80,NAR Directory,2026-07-06T22:52:55Z
