full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,scraped_at
John Anderson,John,Anderson,john.anderson@compass.com,(713) 622-9299,Corcoran Global Living,Cincinnati,OH,Cincinnati,OH819831,OH,1,15,3750000,77,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Mark Bennett,Mark,Bennett,mark_bennett@coldwellbanker.com,(704) 825-3994,eXp Realty,Savannah,GA,Savannah,GA359344,GA,8,8,2600000,87,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
William Rodriguez,William,Rodriguez,williamrodriguez@outlook.com,(585) 960-5614,Century 21,Philadelphia,PA,Philadelphia,PA133014,PA,6,16,4640000,91,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Jeffrey Diaz,Jeffrey,Diaz,jdiaz@sothebysrealty.com,(213) 657-8131,RE/MAX,Lincoln,NE,Lincoln,NE307902,NE,5,12,2760000,61,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Morales,Sarah,Morales,sarah.morales@hotmail.com,(515) 235-7020,ERA Real Estate,Tucson,AZ,Tucson,AZ223475,AZ,4,12,5400000,83,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Richard Baker,Richard,Baker,richard_baker@weichert.com,(414) 240-5845,Century 21,New Orleans,LA,New Orleans,LA521599,LA,7,15,3450000,95,B,B,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Lewis,Christopher,Lewis,christopher_lewis@sothebysrealty.com,(402) 273-4211,ERA Real Estate,San Francisco,CA,San Francisco,CA136775,CA,3,30,22500000,81,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Elizabeth Mitchell,Elizabeth,Mitchell,elizabeth_mitchell@aol.com,(801) 929-4830,HomeSmart,Washington,DC,Washington,DC246362,DC,15,20,14000000,90,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Thompson,Katherine,Thompson,katherine.thompson@kw.com,(716) 328-9343,CBRE,St. Louis,MO,St. Louis,MO832569,MO,8,15,3900000,91,B,B,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Robert Harris,Robert,Harris,rharris@realtor.com,(404) 870-9363,HomeSmart,Louisville,KY,Louisville,KY474948,KY,6,12,2700000,88,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Bennett,Timothy,Bennett,timothybennett@kw.com,(513) 213-5735,Zillow Premier Agent,Oklahoma City,OK,Oklahoma City,OK553858,OK,7,10,2100000,86,B,B,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Melissa Parker,Melissa,Parker,melissaparker@outlook.com,(951) 455-5468,HomeSmart,San Francisco,CA,San Francisco,CA648391,CA,8,25,18750000,91,A,A,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Steven Parker,Steven,Parker,steven_parker@remax.com,(512) 954-8638,CBRE,Colorado Springs,CO,Colorado Springs,CO346068,CO,3,6,3300000,72,C,C,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Nicholas Cooper,Nicholas,Cooper,ncooper@gmail.com,(512) 893-9766,Zillow Premier Agent,San Diego,CA,San Diego,CA231850,CA,3,20,15000000,72,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Benjamin Ramos,Benjamin,Ramos,benjaminramos@exp.com,(615) 232-4096,Compass,San Francisco,CA,San Francisco,CA962021,CA,5,20,15000000,92,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Frank Davis,Frank,Davis,frankdavis98@weichert.com,(312) 753-1138,Corcoran Global Living,Cincinnati,OH,Cincinnati,OH476794,OH,1,35,8750000,93,B,B,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Edward Hernandez,Edward,Hernandez,edward_hernandez@aol.com,(513) 597-8357,Berkshire Hathaway HomeServices,San Antonio,TX,San Antonio,TX574389,TX,7,15,5250000,87,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Stephanie Gomez,Stephanie,Gomez,stephanie_gomez@aol.com,(314) 659-4280,Compass,San Francisco,CA,San Francisco,CA414264,CA,5,16,12000000,82,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Samantha Adams,Samantha,Adams,samanthaadams@yahoo.com,(617) 828-2314,Berkshire Hathaway HomeServices,Milwaukee,WI,Milwaukee,WI490392,WI,1,10,2750000,82,B,B,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Campbell,Jennifer,Campbell,jennifer.campbell@sothebysrealty.com,(408) 634-3840,Sotheby's International Realty,Seattle,WA,Seattle,WA858132,WA,2,35,21000000,82,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Ramos,Ryan,Ramos,ryanramos@homesmart.com,(402) 593-8878,ERA Real Estate,Mobile,AL,Mobile,AL843674,AL,3,8,1760000,68,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Jeffrey Mendoza,Jeffrey,Mendoza,jeffrey.mendoza@yahoo.com,(214) 559-7642,Berkshire Hathaway HomeServices,Minneapolis,MN,Minneapolis,MN390088,MN,7,25,8750000,81,A,A,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Karen Cooper,Karen,Cooper,karencooper@yahoo.com,(317) 449-9345,Local Brokerage,Philadelphia,PA,Philadelphia,PA111965,PA,15,20,5800000,77,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
James Lewis,James,Lewis,jlewis@aol.com,(916) 768-3174,Century 21,Des Moines,IA,Des Moines,IA258445,IA,2,6,1230000,77,C,C,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Gray,Brandon,Gray,brandon_gray@homesmart.com,(704) 468-7810,Corcoran Global Living,Madison,WI,Madison,WI861769,WI,3,15,4125000,90,C,C,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Nicholas Young,Nicholas,Young,nicholasyoung48@weichert.com,(951) 716-1348,Berkshire Hathaway HomeServices,Little Rock,AR,Little Rock,AR574745,AR,5,12,2340000,82,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Laura Jackson,Laura,Jackson,laurajackson80@compass.com,(608) 930-1824,CBRE,Tucson,AZ,Tucson,AZ935755,AZ,3,22,9900000,91,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Reyes,Matthew,Reyes,matthewreyes@hotmail.com,(305) 265-1650,Corcoran Global Living,Tallahassee,FL,Tallahassee,FL217457,FL,5,6,2400000,73,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Karen White,Karen,White,karenwhite80@century21.com,(916) 853-4246,Windermere Real Estate,Charleston,SC,Charleston,SC318141,SC,1,3,870000,65,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Peterson,Sarah,Peterson,sarah.peterson@compass.com,(205) 764-4632,eXp Realty,Chicago,IL,Chicago,IL917816,IL,4,8,2400000,88,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Cynthia Wilson,Cynthia,Wilson,cwilson@remax.com,(305) 436-2930,CBRE,Detroit,MI,Detroit,MI149340,MI,5,12,3300000,85,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Parker,Jennifer,Parker,jennifer.parker@aol.com,(509) 328-7188,Coldwell Banker,Charleston,SC,Charleston,SC230629,SC,5,20,5800000,73,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Samantha Garcia,Samantha,Garcia,samantha_garcia@century21.com,(206) 881-2497,Better Homes and Gardens Real Estate,Miami,FL,Miami,FL344479,FL,10,25,10000000,84,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda King,Amanda,King,amandaking87@exp.com,(414) 322-6303,RE/MAX,Knoxville,TN,Knoxville,TN757787,TN,6,10,3200000,67,C,C,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Baker,Nicole,Baker,nicolebaker7@kw.com,(402) 735-2166,eXp Realty,Baltimore,MD,Baltimore,MD588378,MD,1,35,14875000,76,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Linda Walker,Linda,Walker,linda_walker@aol.com,(317) 627-4255,Berkshire Hathaway HomeServices,Columbus,OH,Columbus,OH920277,OH,3,45,11250000,95,B,B,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Gray,Ronald,Gray,ronaldgray78@sothebysrealty.com,(213) 578-6228,Coldwell Banker,San Francisco,CA,San Francisco,CA728613,CA,5,40,30000000,74,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Thomas Morgan,Thomas,Morgan,thomas.morgan@homesmart.com,(704) 686-5060,Weichert Realtors,Mobile,AL,Mobile,AL106456,AL,6,10,2200000,73,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Rebecca Kelly,Rebecca,Kelly,rebeccakelly51@yahoo.com,(719) 431-8061,CBRE,Tallahassee,FL,Tallahassee,FL652704,FL,2,6,2400000,78,C,C,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
David Carter,David,Carter,david_carter@compass.com,(559) 570-8153,Better Homes and Gardens Real Estate,Nashville,TN,Nashville,TN239338,TN,7,30,9600000,79,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Donald Campbell,Donald,Campbell,donaldcampbell@sothebysrealty.com,(414) 363-1962,HomeSmart,Knoxville,TN,Knoxville,TN666799,TN,3,8,2560000,83,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Elizabeth Young,Elizabeth,Young,elizabethyoung87@aol.com,(509) 745-4403,Compass,Lubbock,TX,Lubbock,TX176037,TX,1,6,2100000,72,C,C,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Nancy Martinez,Nancy,Martinez,nancymartinez@outlook.com,(415) 446-1619,Corcoran Global Living,Cedar Rapids,IA,Cedar Rapids,IA967707,IA,4,10,2050000,76,C,C,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Alexander Flores,Alexander,Flores,alexanderflores@sothebysrealty.com,(404) 602-9555,Berkshire Hathaway HomeServices,Tallahassee,FL,Tallahassee,FL854703,FL,3,8,3200000,84,C,C,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Dorothy Mendoza,Dorothy,Mendoza,dorothymendoza91@kw.com,(205) 357-7183,ERA Real Estate,Baltimore,MD,Baltimore,MD779689,MD,1,8,3400000,75,B,B,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Anna Thompson,Anna,Thompson,annathompson@sothebysrealty.com,(303) 527-3663,Century 21,Atlanta,GA,Atlanta,GA789450,GA,5,30,9750000,74,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Walker,Kimberly,Walker,kwalker@kw.com,(215) 206-8162,Better Homes and Gardens Real Estate,Seattle,WA,Seattle,WA884954,WA,6,25,15000000,85,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Kathleen White,Kathleen,White,kathleenwhite@kw.com,(407) 779-5711,CBRE,Buffalo,NY,Buffalo,NY538377,NY,3,35,29750000,86,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Thomas,Sarah,Thomas,sthomas@realtor.com,(602) 862-7918,Realty ONE Group,Shreveport,LA,Shreveport,LA183606,LA,4,12,2760000,84,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Thompson,Timothy,Thompson,timothy_thompson@hotmail.com,(951) 265-9112,HomeSmart,Oklahoma City,OK,Oklahoma City,OK206560,OK,5,35,7350000,85,B,B,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Torres,Nicole,Torres,ntorres@sothebysrealty.com,(702) 620-2772,Berkshire Hathaway HomeServices,Chicago,IL,Chicago,IL831936,IL,3,35,10500000,85,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Lewis,Carol,Lewis,clewis@gmail.com,(509) 505-3148,HomeSmart,Portland,OR,Portland,OR318385,OR,8,8,4000000,89,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Mark Diaz,Mark,Diaz,mark_diaz@aol.com,(804) 281-8749,Compass,Cedar Rapids,IA,Cedar Rapids,IA582937,IA,5,15,3075000,84,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Brian Cox,Brian,Cox,brian.cox@yahoo.com,(404) 849-7276,Coldwell Banker,Fayetteville,AR,Fayetteville,AR480777,AR,2,10,1950000,68,C,C,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Phillips,Katherine,Phillips,katherinephillips@century21.com,(410) 465-1698,Keller Williams,Reno,NV,Reno,NV904917,NV,3,20,8500000,77,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Sharon Gonzalez,Sharon,Gonzalez,sharon_gonzalez@compass.com,(515) 253-6449,Coldwell Banker,Asheville,NC,Asheville,NC625497,NC,2,6,1860000,79,C,C,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Hernandez,Amanda,Hernandez,amandahernandez51@gmail.com,(515) 481-2670,Weichert Realtors,Winston-Salem,NC,Winston-Salem,NC797110,NC,5,15,4650000,79,C,C,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Edward Wood,Edward,Wood,edward.wood@coldwellbanker.com,(813) 462-1084,Century 21,Montgomery,AL,Montgomery,AL895744,AL,3,10,2200000,79,C,C,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Bennett,Emily,Bennett,emily_bennett@compass.com,(719) 515-5955,CBRE,New Orleans,LA,New Orleans,LA122846,LA,5,15,3450000,71,B,B,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Turner,Sarah,Turner,sarah_turner@exp.com,(208) 663-1913,Windermere Real Estate,San Diego,CA,San Diego,CA708573,CA,15,40,30000000,80,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Christine Nguyen,Christine,Nguyen,christine.nguyen@yahoo.com,(501) 571-9883,ERA Real Estate,San Diego,CA,San Diego,CA876440,CA,8,25,18750000,90,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
George Morris,George,Morris,georgemorris62@hotmail.com,(513) 757-9701,United Real Estate,Portland,OR,Portland,OR437854,OR,6,25,12500000,100,A,A,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Sandra Hill,Sandra,Hill,sandrahill@gmail.com,(305) 783-2849,eXp Realty,Spokane,WA,Spokane,WA167900,WA,2,3,1800000,77,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Melissa Roberts,Melissa,Roberts,melissaroberts1@yahoo.com,(504) 568-5618,Corcoran Global Living,San Jose,CA,San Jose,CA164743,CA,5,20,15000000,93,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Edwards,Brandon,Edwards,bedwards@kw.com,(414) 434-8966,Corcoran Global Living,Detroit,MI,Detroit,MI273741,MI,2,15,4125000,73,B,B,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
George Baker,George,Baker,george.baker@compass.com,(317) 939-6587,HomeSmart,Tucson,AZ,Tucson,AZ912186,AZ,6,22,9900000,79,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Johnson,Charles,Johnson,charlesjohnson@weichert.com,(865) 964-6261,Local Brokerage,San Francisco,CA,San Francisco,CA647409,CA,5,20,15000000,81,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Smith,Pamela,Smith,pamela.smith@hotmail.com,(415) 942-6223,Realty ONE Group,San Antonio,TX,San Antonio,TX188232,TX,10,8,2800000,72,B,B,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Walker,Christopher,Walker,christopher.walker@sothebysrealty.com,(317) 527-7846,Zillow Premier Agent,Nashville,TN,Nashville,TN664372,TN,5,20,6400000,74,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
