name,email,phone,brokerage,metro_area,state,license_number,years_experience,transaction_volume,cream_fit_score,priority_tier,date_added
Kenneth Johnson,kjohnson@halstead.com,(929) 660-8303,Halstead,"Beaumont, NY",NY,104917678283,11,41,87,C,2026-04-05
Donald Carter,donald.carter4@expworldholdings.com,(212) 698-9227,The Agency,"Midland, NY",NY,104915978239,19,41,98,C,2026-04-05
Larry Campbell,larry7@kw.com,(817) 366-3931,Berkshire Hathaway,"Fort Worth, TX",TX,TREC2943510,9,43,91,A,2026-04-05
Brian Hughes,brian_hughes@betterhomesgardens.com,(737) 914-9905,Better Homes & Gardens,"Fort Worth, TX",TX,TREC3155984,24,35,89,A,2026-04-05
Gary Phillips,phillipsg@williampitt.com,(858) 746-8365,William Pitt,"Santa Cruz, CA",CA,BRE4338434,9,29,76,C,2026-04-05
Alexander Peterson,alexanderp@erarealestate.com,(904) 737-3798,ERA Real Estate,"St. Petersburg, FL",FL,BK6078101,0,7,60,B,2026-04-05
Debra Jenkins,debraj@jpassociates.com,(386) 960-3831,JP & Associates,"St. Petersburg, FL",FL,BK6522482,10,54,87,B,2026-04-05
Jennifer Hall,jenniferh@cbrealty.com,(630) 416-8493,Douglas Elliman,"Midland, IL",IL,4758462102,2,1,67,C,2026-04-05
Patricia Rodriguez,rodriguezp@hotmail.com,(770) 465-3522,Berkshire Hathaway HomeServices,"Augusta, GA",GA,GA5557207,2,6,66,B,2026-04-05
Steven Thompson,thompsons@remax.net,(312) 646-6838,Nicholas Realty,"Oak Park, IL",IL,4754504618,19,64,89,A,2026-04-05
Kenneth Rodriguez,kennethr@ebbyhalliday.com,(929) 936-3890,Ebby Halliday,"Manhattan, NY",NY,104916880320,17,76,94,A,2026-04-05
John Peterson,john.peterson@brownharrisstevens.com,(630) 915-5960,Brown Harris Stevens,"Evanston, IL",IL,4751915833,25,40,93,A,2026-04-05
Joe Hernandez,joe26@nicholasrealty.com,(929) 993-3021,Nicholas Realty,"Manhattan, NY",NY,104915094881,2,6,65,A,2026-04-05
Eric King,erick@halstead.com,(630) 241-6812,Halstead,"Beaumont, IL",IL,4751563425,6,31,84,C,2026-04-05
Nancy Parker,nancy_parker@williampitt.com,(707) 724-2500,William Pitt,"Sacramento, CA",CA,BRE5370063,1,5,60,A,2026-04-05
John James,jjames@hotmail.com,(478) 867-3934,Nicholas Realty,"Athens, GA",GA,GA2642610,16,43,96,B,2026-04-05
Nicole Jenkins,nicole.jenkins3@century21.com,(415) 921-6206,The Collective,"Stockton, CA",CA,BRE1458628,6,13,74,B,2026-04-05
Jack Johnson,jack11@longfoster.com,(626) 714-7453,Long & Foster,"Stockton, CA",CA,BRE1892561,1,5,65,B,2026-04-05
Melissa James,melissa_james@hotmail.com,(470) 305-2521,Coldwell Banker,"Roswell, GA",GA,GA2290627,10,57,87,C,2026-04-05
Susan Murphy,susan.murphy4@cbrealty.com,(828) 889-4539,Hill Country Real Estate,"Austin, NC",NC,NC5155222,4,7,65,A,2026-04-05
Kathleen Kelly,kathleen.kelly@outlook.com,(817) 246-3641,Berkshire Hathaway HomeServices,"Midland, TX",TX,TREC3687711,5,11,65,C,2026-04-05
Melissa Murphy,melissa52@icloud.com,(404) 294-3337,Miami Beach Realty,"Atlanta, GA",GA,GA2780375,14,45,89,B,2026-04-05
Kathleen Clark,kathleen.clark1@yahoo.com,(310) 770-3524,Austin Home Girls,"Sacramento, CA",CA,BRE2279818,1,7,66,A,2026-04-05
Patricia Ramirez,patricia.ramirez@cbrealty.com,(216) 489-8711,The Collective,"Dayton, OH",OH,R.E.9975968,21,37,93,B,2026-04-05
Brian Martinez,brian_martinez@realtor.com,(832) 573-1170,Redfin,"El Paso, TX",TX,TREC4783751,4,19,70,B,2026-04-05
John Smith,johns@gmail.com,(312) 672-6956,Berkshire Hathaway,"Evanston, IL",IL,4756093245,2,8,60,A,2026-04-05
Paul Richardson,paul62@ebbyhalliday.com,(740) 751-1487,Ebby Halliday,"Houston, OH",OH,R.E.7596928,9,38,85,A,2026-04-05
Kenneth Taylor,kenneth.taylor@kw.com,(310) 380-8456,eXp Realty,"Santa Rosa, CA",CA,BRE3574241,13,79,87,C,2026-04-05
Terry Brooks,terryb@icloud.com,(470) 890-2303,Halstead,"Houston, GA",GA,GA9850597,5,16,77,A,2026-04-05
Dylan Turner,turnerd@realty.com,(470) 877-2390,Compass,"Valdosta, GA",GA,GA3672185,3,19,72,C,2026-04-05
Richard Nguyen,richard.nguyen@hotmail.com,(980) 870-9030,Sotheby's International Realty,"Charlotte, NC",NC,NC5731027,15,37,85,B,2026-04-05
Karen Rivera,karenr@realty.com,(980) 856-7917,ERA Real Estate,"Raleigh, NC",NC,NC5455497,0,8,60,B,2026-04-05
Emily Lewis,elewis@gmail.com,(806) 756-3869,Ebby Halliday,"Fort Worth, TX",TX,TREC4130185,11,48,85,A,2026-04-05
Barbara Green,barbara57@austinhomegirls.com,(336) 221-7103,Austin Home Girls,"Fort Worth, NC",NC,NC3897393,17,23,94,A,2026-04-05
Robert Cox,rcox@icloud.com,(602) 505-8827,Miami Beach Realty,"Dallas, AZ",AZ,AZ3450840,14,30,91,A,2026-04-05
Sharon Adams,sharona@exprealty.com,(305) 717-6345,eXp Realty,"Fort Lauderdale, FL",FL,BK5596879,13,46,85,A,2026-04-05
Brian Castillo,brianc@redfin.com,(412) 472-9619,Houston Luxury Homes,"Harrisburg, PA",PA,RS376443,0,11,60,B,2026-04-05
Stephen Smith,stephen30@sothebysrealty.com,(832) 531-5889,Berkshire Hathaway HomeServices,"Fort Worth, TX",TX,TREC5664088,18,20,88,A,2026-04-05
Daniel Brooks,danielb@sothebysrealty.com,(706) 547-9199,Coldwell Banker,"Columbus, GA",GA,GA9687157,19,80,98,C,2026-04-05
Cynthia Peterson,cynthia_peterson@century21.com,(941) 854-6797,Century 21,"Fort Lauderdale, FL",FL,BK4594057,12,79,85,A,2026-04-05
Alexander Hall,alexander48@cbrealty.com,(216) 278-5179,Compass,"Houston, OH",OH,R.E.1501457,25,22,92,A,2026-04-05
Eric Watson,eric1@outlook.com,(956) 883-1513,John L. Scott,"Tyler, TX",TX,TREC6535431,9,17,90,C,2026-04-05
Helen Price,priceh@expworldholdings.com,(516) 392-4072,Sunshine State Properties,"McAllen, NY",NY,104915833902,10,62,97,B,2026-04-05
Henry Thomas,henry.thomas7@cbrealty.com,(470) 317-4329,Coldwell Banker,"Houston, GA",GA,GA7193997,18,68,91,A,2026-04-05
Samuel Howard,showard@outlook.com,(850) 789-9655,Ebby Halliday,"Sarasota, FL",FL,BK8047678,22,36,99,B,2026-04-05
Brian Jackson,jacksonb@coldwellbanker.com,(850) 815-7289,Coldwell Banker,"Cape Coral, FL",FL,BK8448713,8,18,75,B,2026-04-05
Emily Lee,leee@compass.com,(386) 623-6562,The Agency,"St. Petersburg, FL",FL,BK7283039,20,70,92,B,2026-04-05
Janet Ross,janet.ross2@yahoo.com,(718) 487-2548,Sotheby's International Realty,"Odessa, NY",NY,104919120933,13,39,89,C,2026-04-05
Debra Sanders,debra_sanders@kellerwilliams.com,(805) 612-6574,Keller Williams,"San Jose, CA",CA,BRE6338063,25,64,86,A,2026-04-05
Amy Brooks,brooksa@realogicssothebys.com,(470) 771-5231,Realogics Sotheby's,"Roswell, GA",GA,GA2241773,8,33,95,C,2026-04-05
Paul Watson,paul_watson@compass.com,(928) 893-2620,Berkshire Hathaway,"Phoenix, AZ",AZ,AZ4568717,2,7,66,B,2026-04-05
Shirley Miller,shirleym@icloud.com,(912) 332-8093,Julie Harris Realty,"Columbus, GA",GA,GA8161499,24,75,90,C,2026-04-05
Robert Cooper,rcooper@coldwellbanker.com,(937) 904-4037,Coldwell Banker,"Dayton, OH",OH,R.E.6258415,11,53,91,B,2026-04-05
David Mendoza,dmendoza@realtyonegroup.com,(229) 434-2738,Realty ONE Group,"Austin, GA",GA,GA1744039,25,83,91,A,2026-04-05
Robert Adams,robert41@sothebysinternationalrealty.com,(412) 281-4691,Sotheby's International Realty,"Lancaster, PA",PA,RS371805,0,8,62,C,2026-04-05
Charles Walker,charles87@austinhomegirls.com,(212) 214-8854,Austin Home Girls,"Brooklyn, NY",NY,104918190681,3,6,63,A,2026-04-05
Karen Myers,myersk@corcoran.com,(623) 669-4946,Corcoran,"Austin, AZ",AZ,AZ5041207,10,59,95,A,2026-04-05
Cynthia Long,cynthia.long@houstonluxuryhomes.com,(419) 816-9265,Houston Luxury Homes,"Austin, OH",OH,R.E.7936929,5,10,63,A,2026-04-05
Sharon Gomez,sharong@yahoo.com,(570) 354-6051,The Agency,"Erie, PA",PA,RS389320,9,36,86,B,2026-04-05
Linda Young,linda.young7@re/max.com,(623) 537-6137,RE/MAX,"Scottsdale, AZ",AZ,AZ8247202,1,1,61,B,2026-04-05
Michael Carter,michael_carter@compass.com,(602) 921-4053,Briggs Freeman,"Gilbert, AZ",AZ,AZ3285733,1,3,60,C,2026-04-05
Jeffrey Allen,jeffrey.allen@betterhomesgardens.com,(419) 245-5017,Better Homes & Gardens,"Houston, OH",OH,R.E.1728189,17,47,88,A,2026-04-05
Patricia Castillo,patricia.castillo3@century21.com,(717) 744-6171,Brown Harris Stevens,"State College, PA",PA,RS337856,21,82,87,C,2026-04-05
Sandra Edwards,sandrae@hillcountryrealestate.com,(806) 548-8696,Hill Country Real Estate,"Odessa, TX",TX,TREC8693206,14,44,89,C,2026-04-05
Melissa Wood,melissa53@compass.com,(336) 327-5403,Sotheby's International Realty,"Greensboro, NC",NC,NC6308759,19,80,92,B,2026-04-05
Bryan Perry,perryb@realty.com,(513) 914-7076,Redfin,"Houston, OH",OH,R.E.2117979,22,35,100,A,2026-04-05
Amy Allen,aallen@realty.com,(919) 889-5637,Sunshine State Properties,"Fort Worth, NC",NC,NC7258834,17,40,95,A,2026-04-05
Jessica James,jessicaj@realogicssothebys.com,(956) 872-4272,Realogics Sotheby's,"Fort Worth, TX",TX,TREC5896415,1,9,70,A,2026-04-05
Deborah Jimenez,deborah67@realtor.com,(520) 498-4758,Austin Home Girls,"Houston, AZ",AZ,AZ5722150,19,48,92,A,2026-04-05
Donald Long,donaldl@gmail.com,(984) 723-4160,Realogics Sotheby's,"Durham, NC",NC,NC5416305,15,27,88,B,2026-04-05
Kenneth Gonzalez,kgonzalez@coldwellbanker.com,(267) 651-1336,Coldwell Banker,"Erie, PA",PA,RS366458,20,74,90,B,2026-04-05
Brian Jimenez,brianj@austinhomegirls.com,(419) 901-1762,Austin Home Girls,"Cincinnati, OH",OH,R.E.8454634,13,49,93,B,2026-04-05
Charles Price,charles.price@gmail.com,(570) 460-8667,Coldwell Banker,"Allentown, PA",PA,RS311282,23,62,100,B,2026-04-05
Timothy Flores,timothy.flores4@remax.net,(412) 545-9133,Sunshine State Properties,"Bethlehem, PA",PA,RS386769,11,67,91,C,2026-04-05
Linda Williams,linda.williams3@sothebysrealty.com,(929) 486-7944,Keller Williams,"Tyler, NY",NY,104914745214,12,27,89,C,2026-04-05
Dorothy Smith,dsmith@gmail.com,(717) 521-5497,Miami Beach Realty,"Houston, PA",PA,RS394952,3,15,81,A,2026-04-05
Joshua King,joshua.king@realtor.com,(305) 785-3088,Corcoran,"Fort Lauderdale, FL",FL,BK5095609,21,32,96,A,2026-04-05
Helen Thomas,helen6@kw.com,(224) 303-2720,Berkshire Hathaway,"Midland, IL",IL,4758438612,21,66,95,C,2026-04-05
Andrew Brooks,andrew.brooks7@corcoran.com,(717) 475-2866,Corcoran,"Pittsburgh, PA",PA,RS324324,9,23,81,B,2026-04-05
Terry Sanchez,terry8@erarealestate.com,(828) 256-9791,ERA Real Estate,"Fort Worth, NC",NC,NC8766414,6,36,91,A,2026-04-05
Henry Myers,henry12@gmail.com,(513) 987-1271,Realty ONE Group,"Houston, OH",OH,R.E.9015344,8,26,87,A,2026-04-05
Robert Hall,robert.hall4@outlook.com,(267) 282-6481,Sotheby's International,"San Antonio, PA",PA,RS337558,16,38,99,A,2026-04-05
Donald Cooper,donald.cooper@kellerwilliams.com,(631) 345-6223,Keller Williams,"Lubbock, NY",NY,104918822094,16,72,94,B,2026-04-05
Steven Carter,steven.carter6@longfoster.com,(440) 405-3661,Long & Foster,"San Antonio, OH",OH,R.E.8415504,21,39,90,A,2026-04-05
Sarah Gray,sarah2@remax.net,(610) 530-1021,The Agency,"State College, PA",PA,RS363451,0,1,65,C,2026-04-05
Brian Martinez,brian.martinez@jpassociates.com,(850) 602-1787,JP & Associates,"Ocala, FL",FL,BK3582117,25,58,97,C,2026-04-05
Joe Young,jyoung@compass.com,(530) 727-5043,Berkshire Hathaway,"Santa Cruz, CA",CA,BRE8583294,24,47,88,C,2026-04-05
Ryan James,rjames@thecollective.com,(714) 312-6672,The Collective,"Riverside, CA",CA,BRE8023333,11,57,87,B,2026-04-05
Tyler Kelly,tyler_kelly@alliebethallman.com,(646) 898-4655,Allie Beth Allman,"Long Island, NY",NY,104916200983,25,52,98,A,2026-04-05
Debra Martinez,debra.martinez1@berkshirehathaway.com,(516) 322-2737,Realogics Sotheby's,"New York City, NY",NY,104919901955,12,74,98,A,2026-04-05
Patricia Baker,bakerp@hotmail.com,(919) 428-6487,John L. Scott,"Durham, NC",NC,NC3710858,14,74,90,B,2026-04-05
Katherine Hernandez,katherine.hernandez7@corcoran.com,(347) 854-3204,Corcoran,"McAllen, NY",NY,104911027755,15,73,94,B,2026-04-05
Virginia Harris,vharris@remax.net,(210) 440-3957,Century 21,"Fort Worth, TX",TX,TREC3049525,16,50,96,A,2026-04-05
Sandra Rogers,sandra86@yahoo.com,(484) 670-6462,Sunshine State Properties,"Scranton, PA",PA,RS353238,19,27,82,C,2026-04-05
Anthony Young,younga@sunshinestateproperties.com,(912) 314-1023,Sunshine State Properties,"Dallas, GA",GA,GA9444521,14,50,93,A,2026-04-05
Eric Chavez,chaveze@century21.com,(727) 683-7948,Keller Williams,"Miami, FL",FL,BK4540095,20,71,87,A,2026-04-05
Douglas Rogers,douglas_rogers@kw.com,(786) 505-8682,Sotheby's International,"Miami, FL",FL,BK4784140,0,3,60,A,2026-04-05
Robert Collins,robert_collins@realtor.com,(478) 416-9604,Orlando Dream Homes,"Houston, GA",GA,GA9178669,3,10,70,A,2026-04-05
Henry Anderson,henry.anderson5@theagency.com,(949) 666-6097,The Agency,"San Jose, CA",CA,BRE6246886,3,18,69,A,2026-04-05
Karen Chavez,karen.chavez@century21.com,(336) 261-5976,Allie Beth Allman,"Asheville, NC",NC,NC3824513,6,38,85,C,2026-04-05
Ronald Kelly,ronald.kelly@realtor.com,(216) 391-2847,Compass,"Toledo, OH",OH,R.E.7195584,14,76,90,B,2026-04-05
Cynthia Stewart,cynthias@kw.com,(216) 528-1118,Corcoran,"Dallas, OH",OH,R.E.1195406,18,52,98,A,2026-04-05
Donna Gutierrez,dgutierrez@sothebysrealty.com,(480) 793-3187,Rogers Healy,"Scottsdale, AZ",AZ,AZ3635788,1,6,60,B,2026-04-05
Mary White,mary.white@realtor.com,(917) 740-6591,Dave Perry Miller,"Beaumont, NY",NY,104912367632,15,30,100,C,2026-04-05
Stephen Young,stephen12@coldwellbanker.com,(928) 527-2368,Coldwell Banker,"Scottsdale, AZ",AZ,AZ5423921,14,66,97,B,2026-04-05
Thomas Morgan,thomasm@century21.com,(520) 356-2184,Brown Harris Stevens,"Phoenix, AZ",AZ,AZ9308373,19,18,84,B,2026-04-05
Nicole Lee,nicole.lee@sothebysinternational.com,(602) 661-9818,Sotheby's International,"Dallas, AZ",AZ,AZ5223483,5,24,82,A,2026-04-05
Susan Hall,susan85@compass.com,(929) 335-1648,Houston Luxury Homes,"Long Island, NY",NY,104919349499,9,22,76,A,2026-04-05
Jason Brown,jasonb@exprealty.com,(904) 433-7930,eXp Realty,"Fort Lauderdale, FL",FL,BK9075397,1,5,66,A,2026-04-05
Frank Jones,jonesf@century21.com,(704) 986-3091,Corcoran,"Wilmington, NC",NC,NC8189248,11,63,100,C,2026-04-05
Ronald Cruz,ronald.cruz5@berkshirehathawayhomeservices.com,(773) 684-8696,Berkshire Hathaway HomeServices,"Naperville, IL",IL,4758044746,10,42,98,A,2026-04-05
Betty Lewis,blewis@yahoo.com,(407) 855-8362,Dave Perry Miller,"Ocala, FL",FL,BK9412425,22,34,87,C,2026-04-05
Lisa James,lisa_james@realty.com,(828) 473-2079,ERA Real Estate,"Dallas, NC",NC,NC8869292,9,16,76,A,2026-04-05
Donna Green,greend@gmail.com,(602) 316-3625,ERA Real Estate,"Glendale, AZ",AZ,AZ7136577,17,49,89,C,2026-04-05
Walter Reed,walterr@sothebysrealty.com,(912) 675-3776,Compass,"Austin, GA",GA,GA8831564,0,2,70,A,2026-04-05
Paul Chavez,paul.chavez5@halstead.com,(470) 798-5560,Halstead,"Fort Worth, GA",GA,GA8211889,22,58,94,A,2026-04-05
Betty Gray,betty_gray@elliman.com,(980) 691-7937,Berkshire Hathaway HomeServices,"Fayetteville, NC",NC,NC6160571,6,24,77,C,2026-04-05
Emma Murphy,emurphy@century21.com,(407) 843-4840,JP & Associates,"Fort Lauderdale, FL",FL,BK5554703,25,50,91,A,2026-04-05
Michelle Perez,michelle.perez@sothebysrealty.com,(858) 606-2563,Coldwell Banker,"San Diego, CA",CA,BRE2398825,15,79,86,A,2026-04-05
Debra Scott,dscott@realtor.com,(770) 593-5939,Compass,"Savannah, GA",GA,GA9996608,2,7,60,B,2026-04-05
Mark Carter,mark_carter@exprealty.com,(928) 718-9998,eXp Realty,"Dallas, AZ",AZ,AZ6046437,20,42,85,A,2026-04-05
Barbara Wilson,wilsonb@realtor.com,(478) 253-7369,Julie Harris Realty,"Savannah, GA",GA,GA5767702,5,16,70,B,2026-04-05
Nancy Peterson,nancy_peterson@compass.com,(805) 470-6950,Sotheby's International Realty,"Los Angeles, CA",CA,BRE9060699,10,49,89,A,2026-04-05
Maria Flores,mflores@redfin.com,(216) 342-5991,Berkshire Hathaway,"San Antonio, OH",OH,R.E.3535085,23,65,99,A,2026-04-05
Amanda Harris,amanda7@remax.net,(813) 414-9504,Sotheby's International Realty,"St. Petersburg, FL",FL,BK5481183,1,6,60,B,2026-04-05
Emma Ward,emma.ward9@julieharrisrealty.com,(806) 748-8496,Julie Harris Realty,"Corpus Christi, TX",TX,TREC5812282,18,55,96,B,2026-04-05
Douglas Allen,allend@realty.com,(928) 255-4974,Allie Beth Allman,"Tempe, AZ",AZ,AZ9507240,19,63,99,B,2026-04-05
Debra Sanchez,debras@hillcountryrealestate.com,(910) 776-4230,Hill Country Real Estate,"Asheville, NC",NC,NC8871450,16,17,81,C,2026-04-05
Jerry Patel,patelj@gmail.com,(619) 352-8800,Allie Beth Allman,"Riverside, CA",CA,BRE9351357,20,66,90,B,2026-04-05
Kathleen Gomez,gomezk@icloud.com,(815) 722-2393,Brown Harris Stevens,"El Paso, IL",IL,4752591452,17,50,89,B,2026-04-05
Catherine Cooper,catherine.cooper6@halstead.com,(956) 334-5122,Halstead,"Austin, TX",TX,TREC8323863,18,73,97,A,2026-04-05
Barbara Morales,moralesb@outlook.com,(806) 386-9933,Corcoran,"McAllen, TX",TX,TREC9873735,16,26,92,B,2026-04-05
George Long,george.long9@yahoo.com,(678) 598-4128,Sotheby's International,"Savannah, GA",GA,GA3799310,17,61,91,B,2026-04-05
