id,full_name,first_name,last_name,email,phone,brokerage,metro_area,state,city,years_experience,transactions_12mo,transaction_volume,sales_volume,license_number,license_state,rating,cream_fit_score,priority_tier,priority,source,scraped_at
271,Charlotte Harrison,Charlotte,Harrison,harrison.charlotte@gmail.com,(619) 669-5920,TTR Sotheby's,Mesa,AZ,Mesa,1,6,6,2879688,AZ289161,AZ,4.5,70,A,A,realtor_scraper,2026-05-25T07:07:18.022075+00:00
343,Bobby Thompson,Bobby,Thompson,thompson.bobby@bhhs.com,(747) 421-4621,Berkshire Hathaway HomeServices,Scottsdale,AZ,Scottsdale,6,23,23,7494251,AZ855496,AZ,3.7,88,A,A,realtor_scraper,2026-05-25T07:07:18.023518+00:00
795,Susan Turner,Susan,Turner,susan90@yahoo.com,(773) 594-9066,The Agency,Oklahoma City,OK,Oklahoma City,25,15,15,4128060,OK667715,OK,5.0,73,C,C,realtor_scraper,2026-05-25T07:07:18.033772+00:00
38,Charlotte Ortiz,Charlotte,Ortiz,charlotte.ortiz@coldwellbanker.com,(716) 220-3128,Coldwell Banker,Naperville,IL,Naperville,2,6,6,2151312,IL973783,IL,4.9,72,A,A,realtor_scraper,2026-05-25T07:07:18.011262+00:00
805,Betty Jimenez,Betty,Jimenez,jimenez.betty@exp.com,(860) 625-4027,Houlihan Lawrence,Charleston,WV,Charleston,23,43,43,18680877,WV467218,WV,4.1,65,C,C,realtor_scraper,2026-05-25T07:07:18.033876+00:00
915,Rebecca Patel,Rebecca,Patel,patel.rebecca@redfin.com,(601) 499-3495,Redfin,Des Moines,IA,Des Moines,4,21,21,14752605,IA451100,IA,4.1,62,C,C,realtor_scraper,2026-05-25T07:07:18.035297+00:00
22,Cheryl Roberts,Cheryl,Roberts,cheryl.roberts@yahoo.com,(430) 824-8717,Joyce Rey,Schaumburg,IL,Schaumburg,17,36,36,19648620,IL185907,IL,4.0,66,A,A,realtor_scraper,2026-05-25T07:07:18.009636+00:00
931,Jesse Hernandez,Jesse,Hernandez,hernandez.jesse@yahoo.com,(817) 223-5760,Green Residential,Burlington,VT,Burlington,11,20,20,12843780,VT219783,VT,3.6,91,C,C,realtor_scraper,2026-05-25T07:07:18.035476+00:00
945,Joseph Jimenez,Joseph,Jimenez,joseph13@gmail.com,(847) 929-7354,ERA Real Estate,Tulsa,OK,Tulsa,16,31,31,9553487,OK974375,OK,3.6,97,C,C,realtor_scraper,2026-05-25T07:07:18.041171+00:00
114,Jeffrey Cook,Jeffrey,Cook,jeffrey.cook@kw.com,(607) 378-7371,Keller Williams,Boulder,CO,Boulder,17,38,38,23097540,CO341479,CO,3.9,96,A,A,realtor_scraper,2026-05-25T07:07:18.012754+00:00
503,Thomas Hayes,Thomas,Hayes,thomas.hayes@kw.com,(217) 953-7905,Russ Lyon Sotheby's,Cleveland,OH,Cleveland,5,8,8,5431976,OH362071,OH,3.6,80,B,B,realtor_scraper,2026-05-25T07:07:18.026138+00:00
417,Charles Torres,Charles,Torres,charlest@gmail.com,(386) 419-9479,Ebby Halliday Realtors,Philadelphia,PA,Philadelphia,12,37,37,18419858,PA372018,PA,4.6,79,B,B,realtor_scraper,2026-05-25T07:07:18.024881+00:00
444,Bruce Cruz,Bruce,Cruz,brucec@remax.net,(717) 703-9815,Sotheby's Arizona,Bend,OR,Bend,23,19,19,6255826,OR717511,OR,4.4,87,B,B,realtor_scraper,2026-05-25T07:07:18.025269+00:00
973,Denise Reynolds,Denise,Reynolds,denise.reynolds@realtor.com,(959) 545-4813,RealtySouth,New Haven,CT,New Haven,7,30,30,15840510,CT232791,CT,4.2,84,C,C,realtor_scraper,2026-05-25T07:07:18.041485+00:00
601,Bryan Baker,Bryan,Baker,bryan.baker@kw.com,(305) 860-4076,Christie's International Real Estate,Indianapolis,IN,Indianapolis,5,13,13,5413525,IN307279,IN,4.7,71,B,B,realtor_scraper,2026-05-25T07:07:18.029792+00:00
203,Benjamin Rivera,Benjamin,Rivera,benjamin.rivera@exp.com,(206) 521-1738,Realty Executives,Boston,MA,Boston,25,23,23,13236661,MA323431,MA,4.1,79,A,A,realtor_scraper,2026-05-25T07:07:18.014253+00:00
658,John Barnes,John,Barnes,jbarnes@kw.com,(724) 376-8123,McEnearney Associates,Pittsburgh,PA,Pittsburgh,0,6,6,3220800,PA197362,PA,4.9,62,B,B,realtor_scraper,2026-05-25T07:07:18.032195+00:00
65,Michael Martinez,Michael,Martinez,michael87@compass.com,(631) 985-1366,Realogy,Fort Lauderdale,FL,Fort Lauderdale,5,18,18,6537258,FL866389,FL,5.0,77,A,A,realtor_scraper,2026-05-25T07:07:18.011710+00:00
180,Christopher Perry,Christopher,Perry,cperry@kw.com,(445) 745-2057,Green Residential,Cambridge,MA,Cambridge,3,14,14,8969450,MA132648,MA,3.7,89,A,A,realtor_scraper,2026-05-25T07:07:18.013880+00:00
86,Zachary Foster,Zachary,Foster,foster.zachary@hotmail.com,(270) 719-9986,Latter & Blum,Dallas,TX,Dallas,6,19,19,7489211,TX649469,TX,4.3,91,A,A,realtor_scraper,2026-05-25T07:07:18.012093+00:00
587,John Griffin,John,Griffin,john.griffin@hotmail.com,(615) 552-4037,Keller Williams Realty,Saint Paul,MN,Saint Paul,25,35,35,18160975,MN953346,MN,4.1,67,B,B,realtor_scraper,2026-05-25T07:07:18.029526+00:00
435,Louis Mitchell,Louis,Mitchell,mitchell.louis@hotmail.com,(971) 927-5273,Alain Pinel Realtors,Saint Paul,MN,Saint Paul,17,43,43,16219815,MN194179,MN,5.0,96,B,B,realtor_scraper,2026-05-25T07:07:18.025144+00:00
951,Joe Sanders,Joe,Sanders,joe91@hotmail.com,(312) 333-2952,Berkshire Hathaway HomeServices California,Providence,RI,Providence,19,44,44,17575580,RI324629,RI,4.3,73,C,C,realtor_scraper,2026-05-25T07:07:18.041242+00:00
7,Jacqueline Ortiz,Jacqueline,Ortiz,ortiz.jacqueline@gmail.com,(228) 369-1572,Sierra Sotheby's,Phoenix,AZ,Phoenix,2,4,4,1092116,AZ564491,AZ,4.3,68,A,A,realtor_scraper,2026-05-25T07:07:18.009296+00:00
612,Brittany Sullivan,Brittany,Sullivan,brittany85@gmail.com,(857) 333-6485,Russ Lyon Sotheby's,Philadelphia,PA,Philadelphia,4,17,17,7449859,PA593354,PA,3.7,90,B,B,realtor_scraper,2026-05-25T07:07:18.029966+00:00
309,Ronald Sanchez,Ronald,Sanchez,ronald_sanchez@compass.com,(318) 887-8159,Realty ONE Group,Boston,MA,Boston,19,20,20,14991580,MA719450,MA,3.9,79,A,A,realtor_scraper,2026-05-25T07:07:18.022896+00:00
526,Amy Gonzales,Amy,Gonzales,amyg@realtor.com,(504) 464-6635,LIV Sotheby's,Provo,UT,Provo,5,19,19,13742776,UT559583,UT,3.5,84,B,B,realtor_scraper,2026-05-25T07:07:18.026457+00:00
779,Ralph Morales,Ralph,Morales,ralph29@realtor.com,(913) 233-1462,Jameson Sotheby's,Portland,ME,Portland,9,31,31,22738624,ME977683,ME,4.4,76,C,C,realtor_scraper,2026-05-25T07:07:18.033604+00:00
650,Julie Griffin,Julie,Griffin,julieg@compass.com,(234) 601-9793,Deasy Penner Podley,Pittsburgh,PA,Pittsburgh,2,12,12,7823688,PA199475,PA,3.5,72,B,B,realtor_scraper,2026-05-25T07:07:18.032100+00:00
809,Bobby Clark,Bobby,Clark,clark.bobby@hotmail.com,(910) 753-6423,Dielmann Sotheby's,Burlington,VT,Burlington,22,22,22,10431102,VT486511,VT,3.6,85,C,C,realtor_scraper,2026-05-25T07:07:18.033916+00:00
845,Judy Hayes,Judy,Hayes,judyh@remax.net,(914) 717-3104,Ebby Halliday Realtors,Oklahoma City,OK,Oklahoma City,2,7,7,2715328,OK603172,OK,4.8,62,C,C,realtor_scraper,2026-05-25T07:07:18.034299+00:00
120,Christine Butler,Christine,Butler,christine_butler@kw.com,(757) 730-9851,The Michael Group,Brooklyn,NY,Brooklyn,4,9,9,4091706,NY901879,NY,4.1,92,A,A,realtor_scraper,2026-05-25T07:07:18.012855+00:00
521,Sara Peterson,Sara,Peterson,sara98@outlook.com,(216) 677-9279,Gardner Realtors,Bethesda,MD,Bethesda,1,3,3,1091025,MD495575,MD,4.8,80,B,B,realtor_scraper,2026-05-25T07:07:18.026388+00:00
618,Mark James,Mark,James,mark.james@realtor.com,(470) 547-4930,Berkshire Hathaway HomeServices Florida,Fort Wayne,IN,Fort Wayne,0,7,7,4234496,IN956179,IN,4.5,77,B,B,realtor_scraper,2026-05-25T07:07:18.030049+00:00
748,Aaron Mitchell,Aaron,Mitchell,aaron.mitchell@yahoo.com,(914) 501-8976,Daniel Gale Sotheby's,Charleston,SC,Charleston,2,7,7,2190272,SC333409,SC,4.8,73,B,B,realtor_scraper,2026-05-25T07:07:18.033233+00:00
471,Betty Flores,Betty,Flores,bettyf@exp.com,(947) 831-6062,Deasy Penner Podley,Grand Rapids,MI,Grand Rapids,4,20,20,14404580,MI412901,MI,4.7,92,B,B,realtor_scraper,2026-05-25T07:07:18.025683+00:00
378,Ronald Cooper,Ronald,Cooper,ronald.cooper@kw.com,(516) 565-4903,United Real Estate,Phoenix,AZ,Phoenix,18,30,30,19521450,AZ830913,AZ,4.9,96,A,A,realtor_scraper,2026-05-25T07:07:18.024074+00:00
94,Jesse Edwards,Jesse,Edwards,jedwards@hotmail.com,(414) 845-5837,Coldwell Banker Residential,Tempe,AZ,Tempe,12,41,41,26566483,AZ554113,AZ,4.9,77,A,A,realtor_scraper,2026-05-25T07:07:18.012389+00:00
248,Michelle Ross,Michelle,Ross,mross@exp.com,(334) 249-7881,eXp Realty,Atlanta,GA,Atlanta,24,27,27,14218470,GA345292,GA,3.9,79,A,A,realtor_scraper,2026-05-25T07:07:18.021634+00:00
37,Linda Harrison,Linda,Harrison,linda73@compass.com,(386) 340-3734,The Michael Group,San Antonio,TX,San Antonio,1,12,12,7459188,TX335734,TX,4.3,84,A,A,realtor_scraper,2026-05-25T07:07:18.011247+00:00
546,Natalie Graham,Natalie,Graham,graham.natalie@yahoo.com,(262) 349-2537,Rogers Healy and Associates,Greensboro,NC,Greensboro,12,22,22,11395098,NC332201,NC,3.9,84,B,B,realtor_scraper,2026-05-25T07:07:18.028826+00:00
672,Julia Cook,Julia,Cook,juliac@outlook.com,(951) 970-5795,Realogy,Richmond,VA,Richmond,9,33,33,11668767,VA526833,VA,4.8,91,B,B,realtor_scraper,2026-05-25T07:07:18.032346+00:00
320,Beverly Myers,Beverly,Myers,beverly.myers@realtor.com,(817) 267-9438,Engel & Völkers,Naperville,IL,Naperville,4,24,24,6806040,IL134586,IL,4.0,77,A,A,realtor_scraper,2026-05-25T07:07:18.023134+00:00
763,Andrew Bailey,Andrew,Bailey,andrew_bailey@hotmail.com,(989) 715-6780,Latter & Blum,Providence,RI,Providence,15,22,22,10707708,RI663855,RI,4.5,65,C,C,realtor_scraper,2026-05-25T07:07:18.033408+00:00
254,Isabella Sanchez,Isabella,Sanchez,isabella77@realtor.com,(408) 449-9660,Washington Fine Properties,Alpharetta,GA,Alpharetta,23,23,23,12516600,GA512331,GA,3.8,92,A,A,realtor_scraper,2026-05-25T07:07:18.021754+00:00
694,George Barnes,George,Barnes,george_barnes@hotmail.com,(720) 210-2778,VIP Realty,Raleigh,NC,Raleigh,0,6,6,1524624,NC826508,NC,4.8,93,B,B,realtor_scraper,2026-05-25T07:07:18.032642+00:00
548,Amy Jordan,Amy,Jordan,amyj@gmail.com,(231) 792-4982,Watson Realty,Madison,WI,Madison,3,10,10,4459380,WI362269,WI,3.8,63,B,B,realtor_scraper,2026-05-25T07:07:18.028865+00:00
214,Scott Cox,Scott,Cox,scott65@realtor.com,(618) 249-8691,Houlihan Lawrence,Bellevue,WA,Bellevue,3,19,19,10369098,WA270961,WA,3.9,84,A,A,realtor_scraper,2026-05-25T07:07:18.020653+00:00
535,Marilyn Castillo,Marilyn,Castillo,castillo.marilyn@redfin.com,(804) 587-8469,Redfin,Kansas City,MO,Kansas City,16,32,32,8088032,MO390045,MO,4.2,76,B,B,realtor_scraper,2026-05-25T07:07:18.028616+00:00
597,Wayne Garcia,Wayne,Garcia,wayne.garcia@coldwellbanker.com,(628) 496-1340,Corcoran,Grand Rapids,MI,Grand Rapids,13,38,38,9994646,MI752138,MI,4.8,98,B,B,realtor_scraper,2026-05-25T07:07:18.029731+00:00
226,Edward Myers,Edward,Myers,edward_myers@yahoo.com,(848) 714-4093,The Boutique Real Estate Group,Evanston,IL,Evanston,3,20,20,14401180,IL307854,IL,3.7,81,A,A,realtor_scraper,2026-05-25T07:07:18.021180+00:00
19,Sean Smith,Sean,Smith,sean_smith@remax.net,(213) 700-1724,VIP Realty,Brooklyn,NY,Brooklyn,9,38,38,17199294,NY680032,NY,4.2,81,A,A,realtor_scraper,2026-05-25T07:07:18.009545+00:00
620,Gerald Jordan,Gerald,Jordan,geraldj@hotmail.com,(321) 920-9061,The Agency Texas,Detroit,MI,Detroit,23,22,22,7088686,MI639804,MI,4.0,83,B,B,realtor_scraper,2026-05-25T07:07:18.030070+00:00
176,Katherine Sanders,Katherine,Sanders,katherine.sanders@redfin.com,(702) 340-6732,Redfin,Bellevue,WA,Bellevue,23,22,22,8091270,WA867830,WA,4.8,66,A,A,realtor_scraper,2026-05-25T07:07:18.013816+00:00
993,Alexander Wilson,Alexander,Wilson,alexanderw@outlook.com,(516) 554-9612,Berkshire Hathaway HomeServices California,Meridian,ID,Meridian,1,7,7,5163249,ID934525,ID,3.8,86,C,C,realtor_scraper,2026-05-25T07:07:18.041720+00:00
810,Debra Taylor,Debra,Taylor,debrat@exp.com,(346) 341-4603,Harry Norman Realtors,Providence,RI,Providence,16,29,29,8023778,RI363705,RI,4.3,63,C,C,realtor_scraper,2026-05-25T07:07:18.033926+00:00
628,Jordan Cruz,Jordan,Cruz,jordan.cruz@sothebysrealty.com,(830) 925-8519,Sotheby's International Realty,Indianapolis,IN,Indianapolis,1,9,9,3105432,IN947313,IN,4.1,69,B,B,realtor_scraper,2026-05-25T07:07:18.031810+00:00
354,Rebecca Lopez,Rebecca,Lopez,rebecca.lopez@remax.net,(414) 899-4541,@properties,Oakland,CA,Oakland,16,32,32,14099264,CA1264083,CA,4.0,85,A,A,realtor_scraper,2026-05-25T07:07:18.023714+00:00
127,Terry Stewart,Terry,Stewart,terrys@coldwellbanker.com,(518) 987-1181,Daniel Gale Sotheby's,Bellevue,WA,Bellevue,4,14,14,4460288,WA645225,WA,4.9,90,A,A,realtor_scraper,2026-05-25T07:07:18.012971+00:00
789,Ashley Roberts,Ashley,Roberts,roberts.ashley@yahoo.com,(409) 853-9646,Champions Real Estate Group,Cheyenne,WY,Cheyenne,12,28,28,20422472,WY914381,WY,3.9,65,C,C,realtor_scraper,2026-05-25T07:07:18.033713+00:00
331,Tyler Simmons,Tyler,Simmons,tyler.simmons@kw.com,(630) 300-9141,Keller Williams,Aurora,CO,Aurora,17,17,17,8864922,CO434475,CO,4.0,85,A,A,realtor_scraper,2026-05-25T07:07:18.023340+00:00
621,Gerald Walker,Gerald,Walker,walker.gerald@hotmail.com,(862) 696-2746,Corcoran,Eugene,OR,Eugene,7,24,24,6322056,OR497730,OR,4.2,86,B,B,realtor_scraper,2026-05-25T07:07:18.031704+00:00
48,Rose Young,Rose,Young,rose85@coldwellbanker.com,(718) 507-9541,RE/MAX Advantage,Schaumburg,IL,Schaumburg,5,17,17,4873747,IL927556,IL,3.8,65,A,A,realtor_scraper,2026-05-25T07:07:18.011413+00:00
202,Emma Phillips,Emma,Phillips,emma_phillips@outlook.com,(812) 755-2899,Alain Pinel Realtors,Mesa,AZ,Mesa,24,23,23,6516498,AZ368544,AZ,4.4,97,A,A,realtor_scraper,2026-05-25T07:07:18.014240+00:00
323,Alice Reyes,Alice,Reyes,areyes@remax.net,(610) 874-6278,Deasy Penner Podley,Boston,MA,Boston,0,7,7,3063501,MA977228,MA,4.1,93,A,A,realtor_scraper,2026-05-25T07:07:18.023195+00:00
150,Julie Scott,Julie,Scott,julie.scott@remax.net,(774) 595-3628,Russ Lyon Sotheby's,Boulder,CO,Boulder,23,26,26,9069736,CO695304,CO,4.4,92,A,A,realtor_scraper,2026-05-25T07:07:18.013374+00:00
679,Jessica Williams,Jessica,Williams,jessicaw@outlook.com,(458) 877-5076,Corcoran,Raleigh,NC,Raleigh,4,13,13,9260784,NC395758,NC,4.8,60,B,B,realtor_scraper,2026-05-25T07:07:18.032423+00:00
134,Megan Harrison,Megan,Harrison,megan.harrison@hotmail.com,(615) 261-2871,Champions Real Estate Group,Mesa,AZ,Mesa,9,45,45,23311980,AZ206884,AZ,3.8,92,A,A,realtor_scraper,2026-05-25T07:07:18.013077+00:00
192,Peter Campbell,Peter,Campbell,pcampbell@compass.com,(716) 981-2210,Martha Turner Sotheby's,Sacramento,CA,Sacramento,1,5,5,2924765,CA9315866,CA,3.8,91,A,A,realtor_scraper,2026-05-25T07:07:18.014088+00:00
615,Janice Gomez,Janice,Gomez,gomez.janice@compass.com,(209) 432-6510,Champions Real Estate Group,Raleigh,NC,Raleigh,13,27,27,15971067,NC842486,NC,3.8,78,B,B,realtor_scraper,2026-05-25T07:07:18.030013+00:00
649,Diane Campbell,Diane,Campbell,diane_campbell@coldwellbanker.com,(478) 207-4037,Stirling Properties,Baltimore,MD,Baltimore,0,10,10,3021170,MD675515,MD,3.9,95,B,B,realtor_scraper,2026-05-25T07:07:18.032089+00:00
16,Brandon Moreno,Brandon,Moreno,moreno.brandon@realtor.com,(478) 352-6274,Long & Foster,Chicago,IL,Chicago,20,31,31,9945947,IL487042,IL,4.5,84,A,A,realtor_scraper,2026-05-25T07:07:18.009491+00:00
382,Terry Baker,Terry,Baker,terry_baker@outlook.com,(440) 936-1050,Gardner Realtors,Naperville,IL,Naperville,14,27,27,17061300,IL870452,IL,4.9,93,A,A,realtor_scraper,2026-05-25T07:07:18.024133+00:00
866,Jonathan Roberts,Jonathan,Roberts,jonathanr@realtor.com,(623) 865-6067,Harry Norman Realtors,Overland Park,KS,Overland Park,2,6,6,2582274,KS803113,KS,4.0,64,C,C,realtor_scraper,2026-05-25T07:07:18.034515+00:00
980,Lisa Allen,Lisa,Allen,lisa_allen@yahoo.com,(434) 527-6486,RE/MAX Advantage,Portland,ME,Portland,23,36,36,22877424,ME162551,ME,4.5,97,C,C,realtor_scraper,2026-05-25T07:07:18.041563+00:00
527,Ronald Myers,Ronald,Myers,ronaldm@coldwellbanker.com,(607) 384-7490,Berkshire Hathaway HomeServices PenFed,Fort Wayne,IN,Fort Wayne,1,11,11,3952553,IN479168,IN,3.7,90,B,B,realtor_scraper,2026-05-25T07:07:18.026470+00:00
163,Kimberly Ward,Kimberly,Ward,kimberlyw@gmail.com,(341) 237-8542,JPAR,Cambridge,MA,Cambridge,0,11,11,4506623,MA439040,MA,3.7,86,A,A,realtor_scraper,2026-05-25T07:07:18.013606+00:00
633,Jason Torres,Jason,Torres,jason.torres@exp.com,(971) 558-1534,Lyon Real Estate,Cincinnati,OH,Cincinnati,3,17,17,12595980,OH461871,OH,4.2,90,B,B,realtor_scraper,2026-05-25T07:07:18.031863+00:00
559,Matthew Bryant,Matthew,Bryant,matthew.bryant@coldwellbanker.com,(641) 892-3029,Coldwell Banker,Henderson,NV,Henderson,25,28,28,10896284,NV515798,NV,4.2,75,B,B,realtor_scraper,2026-05-25T07:07:18.029071+00:00
362,Brian Rivera,Brian,Rivera,brian_rivera@compass.com,(312) 684-1634,HomeSmart,San Diego,CA,San Diego,2,7,7,4395524,CA9834171,CA,4.4,74,A,A,realtor_scraper,2026-05-25T07:07:18.023841+00:00
913,Margaret Taylor,Margaret,Taylor,margaret75@coldwellbanker.com,(251) 275-1945,Dave Perry-Miller,Wilmington,DE,Wilmington,7,43,43,25477715,DE416017,DE,3.8,82,C,C,realtor_scraper,2026-05-25T07:07:18.035263+00:00
591,Gregory Nguyen,Gregory,Nguyen,nguyen.gregory@exp.com,(219) 779-1743,The Agency,Indianapolis,IN,Indianapolis,2,10,10,5840860,IN110056,IN,4.7,75,B,B,realtor_scraper,2026-05-25T07:07:18.029608+00:00
955,Cheryl Wright,Cheryl,Wright,cheryl_wright@exp.com,(415) 929-1239,Berkshire Hathaway HomeServices Fox & Roach,Santa Fe,NM,Santa Fe,2,6,6,3229062,NM677438,NM,3.6,94,C,C,realtor_scraper,2026-05-25T07:07:18.041282+00:00
558,Olivia Simmons,Olivia,Simmons,osimmons@compass.com,(847) 244-6295,Washington Fine Properties,Greenville,SC,Greenville,18,40,40,21432280,SC452619,SC,3.6,76,B,B,realtor_scraper,2026-05-25T07:07:18.029058+00:00
146,Joshua Garcia,Joshua,Garcia,joshua21@realtor.com,(310) 206-2046,Gardner Realtors,Cambridge,MA,Cambridge,15,32,32,19201888,MA855884,MA,4.5,80,A,A,realtor_scraper,2026-05-25T07:07:18.013295+00:00
767,Virginia Ruiz,Virginia,Ruiz,virginia_ruiz@exp.com,(678) 363-9553,Pacific Union,Baton Rouge,LA,Baton Rouge,23,31,31,16024861,LA880109,LA,4.7,98,C,C,realtor_scraper,2026-05-25T07:07:18.033447+00:00
130,Edward Morales,Edward,Morales,edward10@gmail.com,(646) 594-6169,Lyon Real Estate,San Antonio,TX,San Antonio,4,22,22,8839424,TX261053,TX,4.0,63,A,A,realtor_scraper,2026-05-25T07:07:18.013018+00:00
144,Diane Moreno,Diane,Moreno,dmoreno@kw.com,(601) 905-7961,Harry Norman Realtors,Bellevue,WA,Bellevue,19,18,18,11237976,WA429559,WA,4.3,75,A,A,realtor_scraper,2026-05-25T07:07:18.013253+00:00
268,Olivia Turner,Olivia,Turner,oliviat@gmail.com,(312) 478-6715,United Real Estate,Atlanta,GA,Atlanta,5,23,23,10133202,GA943356,GA,3.7,83,A,A,realtor_scraper,2026-05-25T07:07:18.022025+00:00
