id,name,email,phone,brokerage,state,city,experience_years,transaction_volume_2024,priority_tier,cream_fit_score,lead_date
CREAM_20260605_928949,Mason Brown,mbrown@gmail.com,503-840-6793,Semonin,FL,Fort Lauderdale,4,31,A,87,2026-06-05
CREAM_20260605_565607,Evelyn Jackson,evelynj@gmail.com,303-510-6233,Better Homes and Gardens,KY,Lexington,9,124,B,68,2026-06-05
CREAM_20260605_235508,Susan Harris,susan_harris@gmail.com,303-338-3994,United Real Estate,FL,Fort Lauderdale,3,39,A,97,2026-06-05
CREAM_20260605_393978,Susan Williams,williams.susan@outlook.com,404-927-4868,Harry Norman,DC,Washington,4,16,A,86,2026-06-05
CREAM_20260605_415297,Mary Johnson,mjohnson@outlook.com,303-997-3117,Brown Harris Stevens,WA,Seattle,3,29,A,85,2026-06-05
CREAM_20260605_866891,Mary Lee,maryl@yahoo.com,404-536-7852,Better Homes and Gardens,NY,Buffalo,4,27,B,80,2026-06-05
CREAM_20260605_345396,David Garcia,david.garcia@gmail.com,512-239-7381,Realty One Group,NC,Wilmington,5,25,C,80,2026-06-05
CREAM_20260605_914718,Jacob Taylor,jacob_taylor@yahoo.com,206-292-3465,Realty One Group,WI,Milwaukee,1,7,A,86,2026-06-05
CREAM_20260605_367257,Jessica Carter,jcarter@remax.net,303-165-9405,Engel & Völkers,FL,West Palm Beach,7,101,C,54,2026-06-05
CREAM_20260605_117327,Daniel Wright,daniel_wright@remax.net,310-505-9614,Berkshire Hathaway,TN,Memphis,5,39,B,61,2026-06-05
CREAM_20260605_654878,Susan Brown,brown.susan@gmail.com,617-717-5693,Semonin,NC,Charlotte,9,155,A,91,2026-06-05
CREAM_20260605_696831,David Taylor,davidt@icloud.com,415-349-6332,Century 21,CA,San Jose,7,87,A,75,2026-06-05
CREAM_20260605_736887,Alexander Roberts,alexander_roberts@outlook.com,212-550-4510,Nexthome,OH,Dayton,7,167,C,68,2026-06-05
CREAM_20260605_367755,Logan Garcia,logang@icloud.com,503-802-3805,Corcoran,NC,Cary,6,178,C,75,2026-06-05
CREAM_20260605_976999,Christopher Nelson,nelson.christopher@outlook.com,602-846-2269,Douglas Elliman,PA,Philadelphia,3,26,A,79,2026-06-05
CREAM_20260605_427951,Thomas Perez,thomas_perez@icloud.com,503-172-7196,United Real Estate,TX,Arlington,3,32,B,83,2026-06-05
CREAM_20260605_259169,Emma Nelson,emman@kw.com,212-952-1804,Nexthome,OH,Columbus,1,4,A,76,2026-06-05
CREAM_20260605_184229,Susan Perez,perez.susan@outlook.com,212-731-4767,Nexthome,CA,Santa Ana,5,22,B,84,2026-06-05
CREAM_20260605_103159,Anthony Jones,ajones@hotmail.com,303-347-5277,Berkshire Hathaway,OK,Tulsa,9,75,B,68,2026-06-05
CREAM_20260605_228416,Anthony Thompson,athompson@yahoo.com,602-621-3670,ReeceNichols,VA,Norfolk,4,33,B,90,2026-06-05
CREAM_20260605_247915,Ethan Jackson,ethanj@yahoo.com,512-373-5394,RE/MAX,TN,Nashville,8,66,A,83,2026-06-05
CREAM_20260605_717829,Jacob Green,jgreen@realtor.net,206-859-1724,ReeceNichols,AZ,Tucson,7,122,A,89,2026-06-05
CREAM_20260605_385099,Michael Young,michael.young@hotmail.com,617-896-7728,Brown Harris Stevens,TX,Killeen,3,37,C,53,2026-06-05
CREAM_20260605_924619,Jessica Thompson,thompson.jessica@kw.com,713-402-1269,Douglas Elliman,NC,Durham,6,75,B,64,2026-06-05
CREAM_20260605_527835,Lisa Lopez,llopez@remax.net,213-271-6043,Berkshire Hathaway,MI,Detroit,5,27,A,92,2026-06-05
CREAM_20260605_282922,Joshua Allen,joshua_allen@yahoo.com,602-854-7149,Corcoran,NY,Queens,6,190,A,89,2026-06-05
CREAM_20260605_720019,Linda Roberts,linda.roberts@yahoo.com,312-666-6509,Brown Harris Stevens,NY,Schenectady,5,37,C,50,2026-06-05
CREAM_20260605_571548,Linda Ramirez,ramirez.linda@hotmail.com,503-390-8749,The Agency,CA,Sacramento,7,102,A,82,2026-06-05
CREAM_20260605_212752,Paul Allen,paul_allen@outlook.com,212-678-5423,Compass,CO,Centennial,5,25,C,75,2026-06-05
CREAM_20260605_459451,Christopher Thompson,christopher_thompson@gmail.com,503-406-8504,Realty ONE Group,CA,Oakland,5,16,B,77,2026-06-05
CREAM_20260605_650484,Mason Wilson,mason_wilson@outlook.com,617-743-3442,ReeceNichols,TX,San Antonio,4,29,A,97,2026-06-05
CREAM_20260605_317863,Amelia Clark,amelia_clark@outlook.com,404-710-1068,Brown Harris Stevens,MO,Kansas City,1,15,A,97,2026-06-05
CREAM_20260605_220727,Mark Martin,mmartin@hotmail.com,404-464-5952,Nexthome,NC,Winston-Salem,12,88,B,86,2026-06-05
CREAM_20260605_609549,Michael Clark,mclark@remax.net,213-888-8521,RE/MAX,TX,Garland,4,21,B,81,2026-06-05
CREAM_20260605_572186,Betty Walker,bwalker@gmail.com,312-964-7205,Weichert Realtors,NC,Cary,4,16,C,52,2026-06-05
CREAM_20260605_128403,Evelyn Anderson,anderson.evelyn@icloud.com,312-412-8427,Realty One Group,NC,Raleigh,6,148,B,87,2026-06-05
CREAM_20260605_211326,Mary Rivera,mrivera@realtor.net,415-379-9103,Long & Foster,IL,Chicago,5,36,A,85,2026-06-05
CREAM_20260605_525217,Donald Torres,torres.donald@icloud.com,404-219-8645,Howard Hanna,CA,Irvine,6,91,C,80,2026-06-05
CREAM_20260605_785425,Mia Martin,miam@realtor.net,305-183-9440,Realty ONE Group,TX,Midland,1,15,C,66,2026-06-05
CREAM_20260605_107394,Joshua Rodriguez,jrodriguez@realtor.net,213-293-1696,Corcoran,CA,Riverside,5,38,B,85,2026-06-05
CREAM_20260605_270980,Mason Walker,masonw@hotmail.com,713-566-4617,Douglas Elliman,GA,Atlanta,3,36,A,93,2026-06-05
CREAM_20260605_653739,Mia Sanchez,msanchez@gmail.com,310-655-2213,Corcoran,FL,Tampa,9,196,A,87,2026-06-05
CREAM_20260605_496708,Noah Clark,noah.clark@kw.com,303-394-6587,JPAR,VA,Virginia Beach,1,3,A,79,2026-06-05
CREAM_20260605_213560,Sarah King,sarahk@kw.com,407-108-2496,United Real Estate,CA,San Francisco,5,40,A,100,2026-06-05
CREAM_20260605_573159,Mason King,king.mason@yahoo.com,206-412-5292,Century 21,TX,Brownsville,10,54,C,57,2026-06-05
CREAM_20260605_914734,Evelyn Mitchell,emitchell@yahoo.com,404-320-2914,Century 21,NM,Albuquerque,7,53,A,75,2026-06-05
CREAM_20260605_644351,Elijah Moore,moore.elijah@gmail.com,512-112-7728,Harry Norman,CA,Fresno,6,61,B,71,2026-06-05
CREAM_20260605_461469,Matthew Young,myoung@gmail.com,503-929-3959,Redfin,OK,Tulsa,2,5,B,81,2026-06-05
CREAM_20260605_492668,James Garcia,james.garcia@outlook.com,310-283-8100,Nexthome,NC,High Point,8,95,C,68,2026-06-05
CREAM_20260605_739817,Linda Taylor,ltaylor@hotmail.com,617-396-8822,RE/MAX,FL,Jacksonville,5,18,A,86,2026-06-05
CREAM_20260605_194691,Olivia Davis,davis.olivia@realtor.net,312-920-2267,Harry Norman,NC,Greenville,5,34,C,80,2026-06-05
CREAM_20260605_766668,Lisa White,lisa_white@realtor.net,407-892-6908,Nexthome,OR,Salem,5,27,B,88,2026-06-05
CREAM_20260605_916327,Ava Scott,ava.scott@remax.net,512-632-1017,eXp Realty,CA,Fontana,8,83,C,51,2026-06-05
CREAM_20260605_600418,Joseph Nguyen,josephn@outlook.com,415-725-3508,Coldwell Banker,FL,Lakeland,8,184,C,55,2026-06-05
CREAM_20260605_782732,Karen Taylor,karen_taylor@yahoo.com,617-491-3261,HomeSmart,TX,Houston,6,80,A,100,2026-06-05
CREAM_20260605_548723,Daniel Lee,dlee@gmail.com,303-975-2825,Sothebys International,FL,Pompano Beach,4,33,C,51,2026-06-05
CREAM_20260605_793498,Amelia Garcia,amelia.garcia@gmail.com,303-303-3248,JPAR,TX,Austin,7,108,A,78,2026-06-05
CREAM_20260605_829039,Richard Jones,richard_jones@outlook.com,713-195-5945,ReeceNichols,FL,Fort Lauderdale,4,40,A,78,2026-06-05
CREAM_20260605_210350,Jennifer Thompson,jennifer_thompson@remax.net,617-747-5464,Better Homes and Gardens,OH,Cleveland,3,21,B,74,2026-06-05
CREAM_20260605_756535,Lisa Harris,lisa.harris@icloud.com,206-249-9451,RE/MAX,NM,Albuquerque,4,34,A,78,2026-06-05
CREAM_20260605_798491,Patricia Flores,patricia.flores@yahoo.com,206-707-4185,Berkshire Hathaway,TX,San Antonio,7,117,A,76,2026-06-05
CREAM_20260605_509462,Margaret Wright,margaretw@remax.net,310-372-7259,Harry Norman,TX,Austin,4,32,A,85,2026-06-05
CREAM_20260605_894280,Logan Davis,logan.davis@realtor.net,407-787-5865,Berkshire Hathaway,OH,Columbus,8,47,A,98,2026-06-05
CREAM_20260605_261047,Alexander Rivera,rivera.alexander@kw.com,303-314-4667,HomeSmart,MA,Worcester,12,159,B,83,2026-06-05
CREAM_20260605_840984,John Ramirez,ramirez.john@kw.com,415-574-8111,Douglas Elliman,FL,Hollywood,4,22,B,74,2026-06-05
CREAM_20260605_542946,Karen Jones,karen_jones@hotmail.com,617-195-6082,Corcoran,KY,Lexington,3,40,B,67,2026-06-05
CREAM_20260605_458618,Elizabeth Brown,brown.elizabeth@realtor.net,312-344-9223,Harry Norman,KS,Kansas City,5,15,A,86,2026-06-05
CREAM_20260605_831798,Isabella Allen,isabella_allen@realtor.net,213-776-8143,Keller Williams,TX,Irving,4,40,B,87,2026-06-05
CREAM_20260605_434530,Joshua Gonzalez,gonzalez.joshua@remax.net,305-486-6439,Compass,NY,Schenectady,7,113,C,70,2026-06-05
CREAM_20260605_450581,Liam Adams,liam_adams@remax.net,602-422-6294,Christies International,TX,Lubbock,8,110,B,73,2026-06-05
CREAM_20260605_762750,Matthew Nelson,nelson.matthew@remax.net,310-346-3340,Long & Foster,CO,Aurora,1,10,B,62,2026-06-05
CREAM_20260605_607753,Sarah Miller,smiller@outlook.com,305-803-8581,Long & Foster,FL,Clearwater,5,16,C,77,2026-06-05
CREAM_20260605_189425,Sophia Nelson,sophian@outlook.com,407-234-2919,Weichert Realtors,GA,Atlanta,6,52,A,85,2026-06-05
CREAM_20260605_504999,Donald Robinson,donaldr@outlook.com,512-696-2095,HomeSmart,NM,Albuquerque,5,36,A,100,2026-06-05
CREAM_20260605_839388,Ashley Davis,ashley_davis@realtor.net,404-938-8653,Keller Williams,CA,Glendale,5,23,C,64,2026-06-05
CREAM_20260605_567798,Andrew Martin,andrewm@realtor.net,305-643-1992,Christies International,OK,Tulsa,6,160,B,64,2026-06-05
CREAM_20260605_942192,Kimberly Flores,kimberly.flores@gmail.com,503-865-9431,Berkshire Hathaway,FL,Miami,7,77,A,99,2026-06-05
CREAM_20260605_416422,Oliver Jones,oliver_jones@icloud.com,312-119-3887,Semonin,MO,Kansas City,4,32,A,80,2026-06-05
CREAM_20260605_896909,Patricia Mitchell,patricia.mitchell@icloud.com,312-268-6520,JPAR,OK,Oklahoma City,4,35,A,100,2026-06-05
CREAM_20260605_945031,Robert Walker,robert.walker@gmail.com,212-935-3365,Keller Williams,OK,Oklahoma City,5,32,A,91,2026-06-05
CREAM_20260605_259968,Sandra Johnson,johnson.sandra@remax.net,512-856-1154,Howard Hanna,TX,Irving,7,132,B,84,2026-06-05
CREAM_20260605_527912,Ashley Hall,ashley_hall@kw.com,415-803-4079,Harry Norman,CA,Huntington Beach,2,15,C,78,2026-06-05
CREAM_20260605_269792,Mark Torres,torres.mark@gmail.com,303-529-8277,Redfin,NY,Schenectady,7,60,C,57,2026-06-05
CREAM_20260605_429338,Elijah Adams,elijaha@icloud.com,512-530-2334,RE/MAX,KS,Kansas City,6,118,A,96,2026-06-05
CREAM_20260605_555536,Emily Lopez,emily_lopez@icloud.com,415-328-6103,RE/MAX,OH,Columbus,8,187,A,90,2026-06-05
CREAM_20260605_514884,Thomas Perez,perez.thomas@gmail.com,303-535-6719,Realty One Group,CA,Sacramento,6,197,A,79,2026-06-05
CREAM_20260605_800890,Jacob Thompson,jacob.thompson@remax.net,212-265-8592,ReeceNichols,TN,Memphis,3,23,B,78,2026-06-05
CREAM_20260605_813597,Andrew Allen,andrewa@icloud.com,206-983-5647,The Agency,CA,Santa Clarita,4,38,C,64,2026-06-05
CREAM_20260605_188226,Anthony Sanchez,asanchez@icloud.com,213-887-1126,Redfin,NV,Henderson,7,175,B,65,2026-06-05
CREAM_20260605_486908,Kimberly Hill,khill@gmail.com,415-802-8681,Engel & Völkers,FL,Davie,4,15,C,55,2026-06-05
CREAM_20260605_519490,Lisa Nelson,nelson.lisa@icloud.com,415-128-3878,ReeceNichols,CO,Aurora,12,138,B,82,2026-06-05
CREAM_20260605_385770,Susan Ramirez,ramirez.susan@gmail.com,512-872-2520,Sothebys International,CA,Irvine,4,28,C,58,2026-06-05
CREAM_20260605_143277,Lisa Flores,lisa_flores@hotmail.com,312-183-3648,Weichert Realtors,CA,Glendale,9,169,C,63,2026-06-05
CREAM_20260605_733254,Betty Baker,betty_baker@remax.net,303-662-2900,Berkshire Hathaway,CO,Denver,5,15,A,95,2026-06-05
CREAM_20260605_199182,Mason Thompson,mason.thompson@gmail.com,404-172-7342,Berkshire Hathaway,TX,Austin,4,32,A,80,2026-06-05
CREAM_20260605_905413,Lisa Johnson,lisaj@icloud.com,512-465-3880,United Real Estate,CO,Denver,7,160,A,87,2026-06-05
CREAM_20260605_491182,Dorothy Ramirez,dorothyr@gmail.com,312-949-3700,Christies International,MA,Worcester,2,11,B,85,2026-06-05
CREAM_20260605_255732,Charlotte Nguyen,nguyen.charlotte@kw.com,404-849-8364,Semonin,OH,Cleveland,4,17,B,73,2026-06-05
CREAM_20260605_261266,Daniel Gonzalez,dgonzalez@remax.net,602-243-5179,JPAR,OH,Cincinnati,3,25,B,78,2026-06-05
CREAM_20260605_647579,Matthew Johnson,mjohnson@realtor.net,310-793-2147,The Agency,TX,Dallas,5,31,A,99,2026-06-05
CREAM_20260605_687607,Thomas Lopez,thomasl@remax.net,617-831-9631,Compass,VA,Virginia Beach,5,28,A,92,2026-06-05
CREAM_20260605_828705,Amelia Baker,baker.amelia@icloud.com,713-330-4232,Christies International,TX,Houston,6,187,A,97,2026-06-05
CREAM_20260605_712181,Margaret Scott,margaret.scott@realtor.net,407-423-5861,Harry Norman,TX,Killeen,7,91,C,76,2026-06-05
CREAM_20260605_699247,Jennifer Wilson,jennifer.wilson@icloud.com,312-338-1049,Weichert Realtors,NY,Queens,10,56,A,94,2026-06-05
CREAM_20260605_240212,Richard Perez,richard_perez@icloud.com,503-582-1285,eXp Realty,FL,West Palm Beach,2,12,C,70,2026-06-05
CREAM_20260605_588523,Sarah Young,sarah.young@kw.com,407-576-6167,HomeSmart,TX,Laredo,7,94,B,62,2026-06-05
CREAM_20260605_118710,Sophia Nelson,nelson.sophia@hotmail.com,713-451-2751,Sothebys International,KS,Kansas City,5,26,A,83,2026-06-05
CREAM_20260605_528307,Steven Hernandez,hernandez.steven@yahoo.com,312-173-2084,Douglas Elliman,FL,Hialeah,3,33,B,67,2026-06-05
CREAM_20260605_157148,Steven Miller,steven_miller@remax.net,312-342-7519,ERA Real Estate,KS,Kansas City,5,31,A,78,2026-06-05
CREAM_20260605_724048,Jacob Lewis,jacobl@yahoo.com,312-640-7261,Berkshire Hathaway,NC,Winston-Salem,1,5,B,73,2026-06-05
CREAM_20260605_729301,Mason Nguyen,mason.nguyen@icloud.com,415-494-8465,Brown Harris Stevens,AZ,Tucson,5,15,A,76,2026-06-05
CREAM_20260605_164134,Jennifer Ramirez,jramirez@icloud.com,206-854-5314,Corcoran,CA,Fresno,2,12,B,63,2026-06-05
CREAM_20260605_809216,Betty Carter,betty_carter@remax.net,713-268-8505,Century 21,CA,Glendale,5,21,C,67,2026-06-05
CREAM_20260605_769557,Lucas Wright,lwright@outlook.com,503-220-4780,Weichert Realtors,TX,Amarillo,7,121,B,83,2026-06-05
CREAM_20260605_584748,Karen Garcia,garcia.karen@gmail.com,305-992-2411,Realty ONE Group,CA,Oakland,9,174,B,72,2026-06-05
CREAM_20260605_690693,Ava Hernandez,hernandez.ava@realtor.net,415-713-6911,Century 21,FL,Miami,5,29,A,100,2026-06-05
CREAM_20260605_270924,Evelyn Anderson,anderson.evelyn@outlook.com,617-859-5756,Compass,NY,Albany,5,40,C,57,2026-06-05
CREAM_20260605_156340,Donna Rivera,drivera@gmail.com,305-130-5537,Compass,OH,Parma,6,92,C,60,2026-06-05
CREAM_20260605_663808,Paul Ramirez,ramirez.paul@gmail.com,415-621-5305,Berkshire Hathaway,CA,Chula Vista,4,23,C,74,2026-06-05
CREAM_20260605_327555,Susan Martinez,martinez.susan@outlook.com,407-599-6727,Weichert Realtors,NY,Manhattan,7,122,A,98,2026-06-05
CREAM_20260605_112480,Elizabeth Garcia,elizabethg@icloud.com,407-980-5362,Realty One Group,NC,Cary,2,6,C,70,2026-06-05
CREAM_20260605_366938,Sandra Thompson,sandra_thompson@kw.com,407-246-5733,Realty ONE Group,FL,Miami Gardens,15,72,C,62,2026-06-05
CREAM_20260605_163695,Mark Clark,clark.mark@hotmail.com,212-838-5552,Coldwell Banker,TX,Abilene,6,74,C,54,2026-06-05
CREAM_20260605_698796,Emma Hall,emmah@kw.com,206-195-5999,Corcoran,FL,Orlando,9,133,A,81,2026-06-05
CREAM_20260605_773591,Lucas Flores,lucas_flores@kw.com,415-841-2630,Corcoran,NY,Brooklyn,6,117,A,94,2026-06-05
CREAM_20260605_885006,Elijah Wright,elijah_wright@hotmail.com,404-396-5443,Berkshire Hathaway,OH,Akron,8,194,B,74,2026-06-05
CREAM_20260605_289975,Ava Jackson,ava.jackson@outlook.com,407-820-3366,Weichert Realtors,CO,Fort Collins,4,22,B,77,2026-06-05
CREAM_20260605_968245,Lucas Lopez,lucas_lopez@gmail.com,213-307-8638,Howard Hanna,OH,Cleveland,3,15,B,69,2026-06-05
CREAM_20260605_968534,Michael Taylor,michael_taylor@realtor.net,713-931-5389,United Real Estate,NY,Syracuse,4,19,B,75,2026-06-05
CREAM_20260605_247550,Joseph Perez,joseph_perez@yahoo.com,602-688-7144,Douglas Elliman,FL,Miami Gardens,9,195,C,77,2026-06-05
CREAM_20260605_831417,Lisa Perez,lisa_perez@icloud.com,512-400-3259,Brown Harris Stevens,TX,Irving,5,28,B,79,2026-06-05
CREAM_20260605_967527,Charlotte Miller,charlotte_miller@hotmail.com,713-387-6275,Christies International,MA,Boston,4,23,A,91,2026-06-05
CREAM_20260605_832764,Susan Adams,susan.adams@realtor.net,212-569-2778,Sothebys International,NC,Greensboro,10,182,B,67,2026-06-05
CREAM_20260605_775231,Matthew Brown,matthew.brown@hotmail.com,312-273-8428,Realty One Group,NC,Raleigh,8,58,B,62,2026-06-05
CREAM_20260605_879564,Michelle White,white.michelle@yahoo.com,713-818-3412,United Real Estate,DC,Washington,3,25,A,79,2026-06-05
CREAM_20260605_215169,Sandra Miller,sandram@outlook.com,407-667-1611,ERA Real Estate,CO,Boulder,8,95,C,72,2026-06-05
CREAM_20260605_184489,Charlotte Brown,charlotteb@yahoo.com,503-552-9896,Nexthome,TX,Killeen,4,26,C,60,2026-06-05
CREAM_20260605_800765,Amelia Lewis,amelial@gmail.com,206-925-7039,Sothebys International,FL,Tampa,3,24,A,99,2026-06-05
CREAM_20260605_857052,Robert White,robert.white@hotmail.com,512-560-9971,United Real Estate,TN,Memphis,5,40,B,65,2026-06-05
CREAM_20260605_776281,Sarah Flores,sflores@icloud.com,415-637-3181,Sothebys International,CA,Modesto,8,115,C,63,2026-06-05
CREAM_20260605_180553,Isabella Wright,isabella.wright@kw.com,407-247-3116,Century 21,PA,Philadelphia,4,19,A,75,2026-06-05
CREAM_20260605_357386,James Thomas,thomas.james@icloud.com,503-683-7994,ERA Real Estate,AZ,Tucson,4,40,A,90,2026-06-05
CREAM_20260605_683889,Matthew Martinez,matthewm@outlook.com,303-361-3978,Christies International,IL,Chicago,4,37,A,95,2026-06-05
CREAM_20260605_460325,Liam Brown,brown.liam@icloud.com,206-220-2985,JPAR,TX,Dallas,5,21,A,94,2026-06-05
CREAM_20260605_360707,Jennifer Green,jennifer_green@yahoo.com,303-597-2382,Realty ONE Group,TX,Garland,5,24,B,68,2026-06-05
CREAM_20260605_918656,Ethan Lewis,elewis@remax.net,512-790-4652,Engel & Völkers,OH,Parma,7,131,C,72,2026-06-05
CREAM_20260605_391597,Emily Roberts,roberts.emily@remax.net,415-750-4552,ReeceNichols,NY,Brooklyn,7,104,A,78,2026-06-05
CREAM_20260605_963881,Michael Wright,wright.michael@realtor.net,415-778-2381,Semonin,TX,Arlington,5,15,B,65,2026-06-05
CREAM_20260605_582205,Margaret Clark,mclark@realtor.net,512-778-9334,Realty One Group,NY,New York,3,40,A,97,2026-06-05
CREAM_20260605_154886,Evelyn Allen,evelyn_allen@icloud.com,310-188-3692,Corcoran,AZ,Mesa,5,30,B,75,2026-06-05
CREAM_20260605_719742,James Hill,jamesh@kw.com,310-172-9815,Keller Williams,OH,Toledo,7,129,B,62,2026-06-05
CREAM_20260605_607134,Lisa Wilson,lisa.wilson@outlook.com,602-675-8377,ReeceNichols,TN,Nashville,1,11,A,83,2026-06-05
CREAM_20260605_471703,Olivia Miller,omiller@gmail.com,310-949-9149,Douglas Elliman,PA,Philadelphia,5,36,A,76,2026-06-05
CREAM_20260605_544967,Elijah Harris,harris.elijah@hotmail.com,602-173-1316,Berkshire Hathaway,OK,Tulsa,5,19,B,71,2026-06-05
CREAM_20260605_941984,Donald Lee,dlee@outlook.com,503-734-6996,ReeceNichols,AZ,Tucson,5,22,A,99,2026-06-05
CREAM_20260605_135174,Emma Smith,esmith@yahoo.com,310-767-3586,Keller Williams,NM,Albuquerque,8,121,A,88,2026-06-05
CREAM_20260605_796010,Karen Hall,khall@gmail.com,713-271-9893,Realty ONE Group,CO,Fort Collins,6,68,B,79,2026-06-05
CREAM_20260605_605273,Ethan Hernandez,hernandez.ethan@outlook.com,212-986-3009,Redfin,FL,Miami,4,15,A,99,2026-06-05
CREAM_20260605_437172,Andrew Flores,andrew_flores@realtor.net,512-518-9037,Engel & Völkers,CA,Stockton,9,182,B,78,2026-06-05
CREAM_20260605_980087,Michael Thompson,michael.thompson@realtor.net,305-801-1528,JPAR,OH,Cleveland,3,33,B,63,2026-06-05
CREAM_20260605_656939,Donald Campbell,dcampbell@outlook.com,312-189-3885,United Real Estate,NV,Las Vegas,7,185,A,93,2026-06-05
CREAM_20260605_851596,Liam Baker,liamb@icloud.com,602-375-9759,Harry Norman,TX,Fort Worth,4,23,A,98,2026-06-05
CREAM_20260605_151816,Elijah Hill,hill.elijah@yahoo.com,512-480-8174,Corcoran,NY,Rochester,6,91,B,64,2026-06-05
CREAM_20260605_733625,Jacob Martin,jacob_martin@yahoo.com,310-742-1793,Better Homes and Gardens,FL,Fort Lauderdale,4,30,A,78,2026-06-05
CREAM_20260605_900639,John Sanchez,johns@gmail.com,617-664-6487,Corcoran,MO,Kansas City,7,118,A,94,2026-06-05
CREAM_20260605_627822,Noah Sanchez,sanchez.noah@kw.com,617-303-4188,Howard Hanna,FL,St Petersburg,10,158,B,72,2026-06-05
CREAM_20260605_986255,Ethan Hill,ethanh@yahoo.com,404-858-5696,ERA Real Estate,FL,Pompano Beach,3,23,C,51,2026-06-05
CREAM_20260605_821904,Thomas Gonzalez,tgonzalez@realtor.net,310-681-1012,Douglas Elliman,KY,Lexington,6,177,B,68,2026-06-05
CREAM_20260605_661141,Sarah Carter,sarahc@hotmail.com,404-717-6876,Compass,TX,Carrollton,5,19,C,61,2026-06-05
CREAM_20260605_739974,Matthew Ramirez,matthewr@remax.net,415-218-6465,Better Homes and Gardens,AZ,Phoenix,2,3,A,88,2026-06-05
CREAM_20260605_561109,Ava Perez,ava_perez@realtor.net,312-250-2991,Realty ONE Group,TX,Brownsville,3,34,C,57,2026-06-05
CREAM_20260605_104461,Margaret Ramirez,ramirez.margaret@kw.com,212-749-1823,United Real Estate,TX,Frisco,5,22,C,73,2026-06-05
CREAM_20260605_713927,Robert Allen,robert_allen@icloud.com,404-329-8863,Better Homes and Gardens,NC,Greensboro,1,12,B,68,2026-06-05
CREAM_20260605_500972,Mason Scott,scott.mason@gmail.com,415-655-8333,Nexthome,CO,Denver,9,115,A,75,2026-06-05
CREAM_20260605_850443,Olivia Johnson,olivia.johnson@icloud.com,206-271-2846,Nexthome,KY,Louisville,3,16,A,97,2026-06-05
CREAM_20260605_857555,Mia Hernandez,mia_hernandez@outlook.com,310-416-2697,Realty ONE Group,NY,Schenectady,2,14,C,50,2026-06-05
CREAM_20260605_115531,Paul Green,paul.green@realtor.net,212-915-4307,eXp Realty,KS,Kansas City,1,12,A,92,2026-06-05
CREAM_20260605_718809,Susan Ramirez,susanr@yahoo.com,617-569-3285,Christies International,IN,Indianapolis,9,113,A,87,2026-06-05
CREAM_20260605_978609,Richard Lopez,richard.lopez@yahoo.com,617-234-8368,Century 21,CA,San Francisco,6,125,A,91,2026-06-05
