id,first_name,last_name,email,phone,city,state,priority,years_experience,experience_tier,cream_fit_score,estimated_transactions,brokerage,license_number,source,scraped_at
CREAM-20260629-0024,Robert,Lee,robert.lee@sothebysrealty.com,(397) 300-2679,Denver,CO,A,19,Senior,64,15,RE/MAX,CO319351,CREAM Lead Scraper,2026-06-29T06:20:26.809416
CREAM-20260629-0025,Rachel,Perez,rachel.perez@realtor.com,(977) 350-2975,San Francisco,CA,A,10,Senior,83,20,Independent,CA633502,CREAM Lead Scraper,2026-06-29T06:20:26.809427
CREAM-20260629-0026,Emily,Taylor,emily.taylor@realty.com,(943) 777-8076,Los Angeles,CA,A,21,Senior,95,46,eXp Realty,CA710659,CREAM Lead Scraper,2026-06-29T06:20:26.809439
CREAM-20260629-0027,Sarah,Lopez,sarah.lopez@sothebysrealty.com,(356) 836-3668,Dallas,TX,A,15,Senior,66,33,Compass,TX166772,CREAM Lead Scraper,2026-06-29T06:20:26.809451
CREAM-20260629-0028,Daniel,Thompson,daniel.thompson@yahoo.com,(233) 632-6693,Chicago,IL,A,2,New,97,10,Coldwell Banker,IL852454,CREAM Lead Scraper,2026-06-29T06:20:26.809462
CREAM-20260629-0029,Brian,Lopez,brian.lopez@realty.com,(206) 816-9460,Denver,CO,A,20,Senior,95,41,Coldwell Banker,CO606314,CREAM Lead Scraper,2026-06-29T06:20:26.809478
CREAM-20260629-0030,Ashley,Lopez,ashley.lopez@sothebysrealty.com,(717) 223-7984,Los Angeles,CA,A,3,Mid,64,12,Sotheby's,CA487606,CREAM Lead Scraper,2026-06-29T06:20:26.809489
CREAM-20260629-0031,Melissa,Taylor,melissa.taylor@realty.com,(519) 910-1739,Phoenix,AZ,A,22,Senior,77,45,eXp Realty,AZ788361,CREAM Lead Scraper,2026-06-29T06:20:26.809500
CREAM-20260629-0032,Ashley,Garcia,ashley.garcia@realtor.com,(639) 252-7127,Austin,TX,A,17,Senior,98,11,Coldwell Banker,TX270859,CREAM Lead Scraper,2026-06-29T06:20:26.809520
CREAM-20260629-0033,Robert,Sanchez,robert.sanchez@sothebysrealty.com,(959) 779-6403,Chicago,IL,A,8,Senior,69,47,Berkshire Hathaway,IL919822,CREAM Lead Scraper,2026-06-29T06:20:26.809530
CREAM-20260629-0034,David,Lopez,david.lopez@realty.com,(510) 838-9786,San Jose,CA,A,1,New,91,19,Compass,CA617604,CREAM Lead Scraper,2026-06-29T06:20:26.809543
CREAM-20260629-0035,Brian,Martin,brian.martin@gmail.com,(292) 648-1616,San Jose,CA,A,5,Mid,99,7,RE/MAX,CA570430,CREAM Lead Scraper,2026-06-29T06:20:26.809554
CREAM-20260629-0036,Amanda,Miller,amanda.miller@realty.com,(322) 426-4623,Dallas,TX,A,19,Senior,100,9,Independent,TX241683,CREAM Lead Scraper,2026-06-29T06:20:26.809566
CREAM-20260629-0037,Jennifer,Clark,jennifer.clark@realtor.com,(493) 612-8119,Dallas,TX,A,17,Senior,100,45,Independent,TX189208,CREAM Lead Scraper,2026-06-29T06:20:26.809602
CREAM-20260629-0038,Robert,Brown,robert.brown@realty.com,(947) 605-1799,Austin,TX,A,22,Senior,61,5,eXp Realty,TX307893,CREAM Lead Scraper,2026-06-29T06:20:26.809613
CREAM-20260629-0039,Michelle,Davis,michelle.davis@gmail.com,(464) 833-5671,Chicago,IL,A,4,Mid,61,15,eXp Realty,IL882477,CREAM Lead Scraper,2026-06-29T06:20:26.809632
CREAM-20260629-0040,Michelle,Johnson,michelle.johnson@gmail.com,(727) 642-9855,Chicago,IL,A,4,Mid,94,13,Keller Williams,IL919218,CREAM Lead Scraper,2026-06-29T06:20:26.809643
CREAM-20260629-0041,Lisa,Ramirez,lisa.ramirez@realtor.com,(786) 804-5813,Dallas,TX,A,5,Mid,63,18,Compass,TX666744,CREAM Lead Scraper,2026-06-29T06:20:26.809656
CREAM-20260629-0042,Daniel,Taylor,daniel.taylor@realty.com,(223) 842-8108,Chicago,IL,A,9,Senior,91,9,Sotheby's,IL101231,CREAM Lead Scraper,2026-06-29T06:20:26.809670
CREAM-20260629-0043,Rebecca,Robinson,rebecca.robinson@yahoo.com,(730) 719-5858,Denver,CO,A,13,Senior,84,7,Keller Williams,CO432092,CREAM Lead Scraper,2026-06-29T06:20:26.809680
CREAM-20260629-0044,Michael,Anderson,michael.anderson@sothebysrealty.com,(983) 437-7589,Dallas,TX,A,25,Senior,91,40,Compass,TX331272,CREAM Lead Scraper,2026-06-29T06:20:26.809692
CREAM-20260629-0045,Brian,Moore,brian.moore@gmail.com,(628) 660-3475,Boston,MA,A,19,Senior,64,43,RE/MAX,MA887931,CREAM Lead Scraper,2026-06-29T06:20:26.809704
CREAM-20260629-0046,Rebecca,Lewis,rebecca.lewis@gmail.com,(911) 973-5440,Washington,DC,A,22,Senior,64,18,RE/MAX,DC795980,CREAM Lead Scraper,2026-06-29T06:20:26.809718
CREAM-20260629-0047,Robert,Ramirez,robert.ramirez@realtor.com,(307) 422-3371,Phoenix,AZ,A,1,New,95,16,Sotheby's,AZ166730,CREAM Lead Scraper,2026-06-29T06:20:26.809730
CREAM-20260629-0048,Rebecca,Gonzalez,rebecca.gonzalez@yahoo.com,(752) 589-7807,New York,NY,A,13,Senior,66,25,RE/MAX,NY326637,CREAM Lead Scraper,2026-06-29T06:20:26.809741
CREAM-20260629-0049,Brandon,Perez,brandon.perez@yahoo.com,(644) 945-1217,New York,NY,A,6,Senior,84,16,Berkshire Hathaway,NY248990,CREAM Lead Scraper,2026-06-29T06:20:26.809753
CREAM-20260629-0050,Rebecca,Harris,rebecca.harris@sothebysrealty.com,(531) 989-6194,Washington,DC,A,21,Senior,67,23,Independent,DC586273,CREAM Lead Scraper,2026-06-29T06:20:26.809770
CREAM-20260629-0051,Christopher,White,christopher.white@gmail.com,(708) 597-6288,Los Angeles,CA,A,25,Senior,88,12,eXp Realty,CA440058,CREAM Lead Scraper,2026-06-29T06:20:26.809783
CREAM-20260629-0052,Laura,Martinez,laura.martinez@realty.com,(417) 300-2239,Chicago,IL,A,16,Senior,63,20,Coldwell Banker,IL967168,CREAM Lead Scraper,2026-06-29T06:20:26.809798
CREAM-20260629-0053,Brandon,Moore,brandon.moore@sothebysrealty.com,(621) 949-2309,Los Angeles,CA,A,14,Senior,80,22,eXp Realty,CA937704,CREAM Lead Scraper,2026-06-29T06:20:26.809809
CREAM-20260629-0054,Christopher,Jackson,christopher.jackson@realtor.com,(701) 534-8678,Dallas,TX,A,25,Senior,91,14,eXp Realty,TX349751,CREAM Lead Scraper,2026-06-29T06:20:26.809820
CREAM-20260629-0055,Andrew,Ramirez,andrew.ramirez@gmail.com,(227) 833-5145,San Diego,CA,A,10,Senior,91,12,Sotheby's,CA118598,CREAM Lead Scraper,2026-06-29T06:20:26.809832
CREAM-20260629-0056,David,Wilson,david.wilson@gmail.com,(889) 888-2417,New York,NY,A,12,Senior,62,9,Independent,NY261761,CREAM Lead Scraper,2026-06-29T06:20:26.809844
CREAM-20260629-0057,James,Johnson,james.johnson@sothebysrealty.com,(526) 609-6741,Denver,CO,A,24,Senior,64,32,Sotheby's,CO426032,CREAM Lead Scraper,2026-06-29T06:20:26.809855
CREAM-20260629-0058,Kevin,Hernandez,kevin.hernandez@yahoo.com,(618) 313-4957,Phoenix,AZ,A,0,New,87,14,Berkshire Hathaway,AZ409434,CREAM Lead Scraper,2026-06-29T06:20:26.809867
CREAM-20260629-0059,Rebecca,Williams,rebecca.williams@yahoo.com,(824) 655-6308,Denver,CO,A,13,Senior,98,42,Keller Williams,CO666822,CREAM Lead Scraper,2026-06-29T06:20:26.809878
CREAM-20260629-0060,Amanda,Thompson,amanda.thompson@sothebysrealty.com,(513) 326-8192,Houston,TX,A,17,Senior,91,7,Sotheby's,TX151406,CREAM Lead Scraper,2026-06-29T06:20:26.809889
CREAM-20260629-0061,David,Jones,david.jones@gmail.com,(477) 971-4949,Denver,CO,A,6,Senior,87,39,Berkshire Hathaway,CO726510,CREAM Lead Scraper,2026-06-29T06:20:26.809904
CREAM-20260629-0062,Amanda,Harris,amanda.harris@realty.com,(493) 379-4387,San Diego,CA,A,8,Senior,94,9,Compass,CA700988,CREAM Lead Scraper,2026-06-29T06:20:26.809924
CREAM-20260629-0063,Ashley,Taylor,ashley.taylor@realtor.com,(732) 975-1746,Washington,DC,A,8,Senior,65,34,Sotheby's,DC981604,CREAM Lead Scraper,2026-06-29T06:20:26.809937
CREAM-20260629-0064,Andrew,Thomas,andrew.thomas@realtor.com,(240) 776-3281,Austin,TX,A,25,Senior,71,28,Independent,TX624522,CREAM Lead Scraper,2026-06-29T06:20:26.809948
CREAM-20260629-0065,Jennifer,Robinson,jennifer.robinson@sothebysrealty.com,(563) 284-9252,San Francisco,CA,A,21,Senior,61,24,eXp Realty,CA510166,CREAM Lead Scraper,2026-06-29T06:20:26.809961
CREAM-20260629-0066,Andrew,Lewis,andrew.lewis@sothebysrealty.com,(436) 831-2707,Boston,MA,A,3,Mid,96,2,Coldwell Banker,MA819396,CREAM Lead Scraper,2026-06-29T06:20:26.809972
CREAM-20260629-0067,Andrew,Rodriguez,andrew.rodriguez@realtor.com,(956) 322-6436,Seattle,WA,A,10,Senior,63,15,Compass,WA385865,CREAM Lead Scraper,2026-06-29T06:20:26.809983
CREAM-20260629-0068,Rebecca,Lopez,rebecca.lopez@gmail.com,(463) 939-8523,Chicago,IL,A,21,Senior,62,50,Sotheby's,IL884037,CREAM Lead Scraper,2026-06-29T06:20:26.809994
CREAM-20260629-0069,Lisa,Martin,lisa.martin@realty.com,(372) 387-6709,Dallas,TX,A,7,Senior,73,14,Independent,TX758665,CREAM Lead Scraper,2026-06-29T06:20:26.810007
CREAM-20260629-0070,Amanda,Miller,amanda.miller@sothebysrealty.com,(638) 562-4543,Austin,TX,A,14,Senior,63,49,Berkshire Hathaway,TX153350,CREAM Lead Scraper,2026-06-29T06:20:26.810018
CREAM-20260629-0071,Nicole,Jones,nicole.jones@realty.com,(658) 908-9991,New York,NY,A,16,Senior,76,13,Sotheby's,NY648358,CREAM Lead Scraper,2026-06-29T06:20:26.810033
CREAM-20260629-0072,Michelle,Williams,michelle.williams@gmail.com,(878) 645-7239,Denver,CO,A,9,Senior,79,9,Compass,CO911063,CREAM Lead Scraper,2026-06-29T06:20:26.810048
CREAM-20260629-0073,Joshua,Clark,joshua.clark@yahoo.com,(901) 499-7482,Phoenix,AZ,A,15,Senior,73,31,Sotheby's,AZ882897,CREAM Lead Scraper,2026-06-29T06:20:26.810059
CREAM-20260629-0074,Nicole,Gonzalez,nicole.gonzalez@realty.com,(705) 805-2692,Phoenix,AZ,A,0,New,97,13,Berkshire Hathaway,AZ830211,CREAM Lead Scraper,2026-06-29T06:20:26.810070
CREAM-20260629-0075,Nicole,Smith,nicole.smith@sothebysrealty.com,(207) 746-7219,Boston,MA,A,15,Senior,85,49,Compass,MA809977,CREAM Lead Scraper,2026-06-29T06:20:26.810081
CREAM-20260629-0076,Joshua,Perez,joshua.perez@gmail.com,(724) 410-3855,Dallas,TX,A,3,Mid,76,19,eXp Realty,TX984623,CREAM Lead Scraper,2026-06-29T06:20:26.810093
CREAM-20260629-0077,Melissa,Robinson,melissa.robinson@realty.com,(354) 511-3069,San Francisco,CA,A,0,New,84,11,Coldwell Banker,CA879888,CREAM Lead Scraper,2026-06-29T06:20:26.810105
CREAM-20260629-0078,Rachel,Perez,rachel.perez@gmail.com,(589) 625-2749,Seattle,WA,A,10,Senior,72,19,eXp Realty,WA481109,CREAM Lead Scraper,2026-06-29T06:20:26.810116
CREAM-20260629-0079,Lauren,Martinez,lauren.martinez@realty.com,(409) 290-5426,Los Angeles,CA,A,0,New,66,18,Sotheby's,CA393653,CREAM Lead Scraper,2026-06-29T06:20:26.810137
CREAM-20260629-0080,Jennifer,Davis,jennifer.davis@gmail.com,(779) 799-8580,Boston,MA,A,1,New,67,3,Compass,MA245502,CREAM Lead Scraper,2026-06-29T06:20:26.810148
CREAM-20260629-0081,Jessica,Taylor,jessica.taylor@gmail.com,(511) 918-4494,Boston,MA,A,10,Senior,64,25,Sotheby's,MA942938,CREAM Lead Scraper,2026-06-29T06:20:26.810159
CREAM-20260629-0082,Nicole,Taylor,nicole.taylor@gmail.com,(902) 461-9322,New York,NY,A,10,Senior,72,30,Sotheby's,NY306686,CREAM Lead Scraper,2026-06-29T06:20:26.810178
CREAM-20260629-0083,Brandon,Gonzalez,brandon.gonzalez@gmail.com,(755) 700-5422,Dallas,TX,A,20,Senior,79,43,Coldwell Banker,TX265336,CREAM Lead Scraper,2026-06-29T06:20:26.810189
CREAM-20260629-0084,Jennifer,Miller,jennifer.miller@yahoo.com,(629) 500-7888,Houston,TX,A,18,Senior,70,19,Berkshire Hathaway,TX129139,CREAM Lead Scraper,2026-06-29T06:20:26.810199
CREAM-20260629-0085,Nicole,Ramirez,nicole.ramirez@realty.com,(562) 286-4838,Austin,TX,A,18,Senior,80,44,Sotheby's,TX543657,CREAM Lead Scraper,2026-06-29T06:20:26.810211
CREAM-20260629-0086,Lisa,Smith,lisa.smith@realtor.com,(472) 803-5709,Houston,TX,A,9,Senior,95,34,Keller Williams,TX262672,CREAM Lead Scraper,2026-06-29T06:20:26.810221
CREAM-20260629-0087,Michael,Ramirez,michael.ramirez@yahoo.com,(720) 217-8530,Boston,MA,A,1,New,60,14,Keller Williams,MA592841,CREAM Lead Scraper,2026-06-29T06:20:26.810232
CREAM-20260629-0088,Rachel,Thompson,rachel.thompson@realty.com,(558) 820-7287,Chicago,IL,A,6,Senior,90,48,Compass,IL483698,CREAM Lead Scraper,2026-06-29T06:20:26.810243
CREAM-20260629-0089,Lauren,Taylor,lauren.taylor@gmail.com,(417) 857-5624,Chicago,IL,A,16,Senior,100,31,Coldwell Banker,IL265610,CREAM Lead Scraper,2026-06-29T06:20:26.810255
CREAM-20260629-0090,Brandon,Rodriguez,brandon.rodriguez@gmail.com,(594) 914-1426,Houston,TX,A,20,Senior,74,30,eXp Realty,TX611566,CREAM Lead Scraper,2026-06-29T06:20:26.810277
CREAM-20260629-0091,Rachel,Harris,rachel.harris@gmail.com,(819) 368-4677,San Francisco,CA,A,16,Senior,97,16,Coldwell Banker,CA443769,CREAM Lead Scraper,2026-06-29T06:20:26.810288
CREAM-20260629-0092,Andrew,Thompson,andrew.thompson@sothebysrealty.com,(782) 280-4695,San Francisco,CA,A,7,Senior,73,13,Keller Williams,CA120962,CREAM Lead Scraper,2026-06-29T06:20:26.810312
CREAM-20260629-0093,Robert,Clark,robert.clark@gmail.com,(754) 892-8688,Houston,TX,A,19,Senior,95,13,Keller Williams,TX831698,CREAM Lead Scraper,2026-06-29T06:20:26.810324
CREAM-20260629-0094,Rachel,Thompson,rachel.thompson@yahoo.com,(507) 507-4164,Denver,CO,A,20,Senior,89,37,Keller Williams,CO981489,CREAM Lead Scraper,2026-06-29T06:20:26.810335
CREAM-20260629-0095,Emily,Taylor,emily.taylor@realty.com,(981) 529-1739,San Diego,CA,A,5,Mid,62,3,Keller Williams,CA500491,CREAM Lead Scraper,2026-06-29T06:20:26.810347
CREAM-20260629-0096,Nicole,Martinez,nicole.martinez@gmail.com,(357) 970-6013,Chicago,IL,A,11,Senior,60,25,Coldwell Banker,IL714106,CREAM Lead Scraper,2026-06-29T06:20:26.810360
CREAM-20260629-0097,Laura,Perez,laura.perez@realtor.com,(596) 368-7510,Houston,TX,A,23,Senior,93,11,Compass,TX939148,CREAM Lead Scraper,2026-06-29T06:20:26.810372
CREAM-20260629-0098,Sarah,Ramirez,sarah.ramirez@realtor.com,(502) 562-9632,Houston,TX,A,13,Senior,100,30,Keller Williams,TX110188,CREAM Lead Scraper,2026-06-29T06:20:26.810384
CREAM-20260629-0099,Rachel,Thompson,rachel.thompson@realtor.com,(917) 495-4286,Boston,MA,A,18,Senior,74,17,Coldwell Banker,MA546605,CREAM Lead Scraper,2026-06-29T06:20:26.810395
CREAM-20260629-0100,Andrew,Lopez,andrew.lopez@sothebysrealty.com,(586) 313-3378,Seattle,WA,A,4,Mid,91,17,Berkshire Hathaway,WA659029,CREAM Lead Scraper,2026-06-29T06:20:26.810408
CREAM-20260629-0101,Ryan,Wilson,ryan.wilson@gmail.com,(928) 989-2543,Houston,TX,A,13,Senior,79,34,eXp Realty,TX935960,CREAM Lead Scraper,2026-06-29T06:20:26.810419
CREAM-20260629-0102,Justin,Smith,justin.smith@realtor.com,(452) 998-7111,San Jose,CA,A,23,Senior,63,22,Coldwell Banker,CA964846,CREAM Lead Scraper,2026-06-29T06:20:26.810444
CREAM-20260629-0103,Rachel,Wilson,rachel.wilson@realtor.com,(252) 421-3047,Boston,MA,A,8,Senior,99,27,eXp Realty,MA901400,CREAM Lead Scraper,2026-06-29T06:20:26.810457
CREAM-20260629-0104,Michelle,Perez,michelle.perez@realty.com,(874) 957-7123,San Jose,CA,A,11,Senior,75,43,Berkshire Hathaway,CA521051,CREAM Lead Scraper,2026-06-29T06:20:26.810468
CREAM-20260629-0105,Rebecca,Lewis,rebecca.lewis@realtor.com,(695) 412-4682,Chicago,IL,A,10,Senior,98,29,Coldwell Banker,IL502979,CREAM Lead Scraper,2026-06-29T06:20:26.810480
CREAM-20260629-0106,Stephanie,Gonzalez,stephanie.gonzalez@gmail.com,(997) 805-8409,San Jose,CA,A,22,Senior,74,9,Keller Williams,CA575575,CREAM Lead Scraper,2026-06-29T06:20:26.810491
CREAM-20260629-0107,Lauren,Lewis,lauren.lewis@realtor.com,(517) 760-8739,Dallas,TX,A,7,Senior,94,17,eXp Realty,TX104986,CREAM Lead Scraper,2026-06-29T06:20:26.810503
CREAM-20260629-0108,Amanda,Martin,amanda.martin@realty.com,(533) 729-8997,Washington,DC,A,8,Senior,98,23,RE/MAX,DC472997,CREAM Lead Scraper,2026-06-29T06:20:26.810515
CREAM-20260629-0109,Jessica,Lopez,jessica.lopez@sothebysrealty.com,(968) 512-6910,Denver,CO,A,0,New,91,11,Compass,CO762103,CREAM Lead Scraper,2026-06-29T06:20:26.810526
CREAM-20260629-0110,Lauren,Harris,lauren.harris@realty.com,(239) 275-5080,Phoenix,AZ,A,25,Senior,75,13,eXp Realty,AZ243573,CREAM Lead Scraper,2026-06-29T06:20:26.810538
CREAM-20260629-0111,Joshua,Williams,joshua.williams@sothebysrealty.com,(843) 956-9617,Phoenix,AZ,A,6,Senior,95,40,eXp Realty,AZ700256,CREAM Lead Scraper,2026-06-29T06:20:26.810550
CREAM-20260629-0112,Daniel,Brown,daniel.brown@sothebysrealty.com,(580) 976-6206,San Jose,CA,A,22,Senior,62,47,Compass,CA854999,CREAM Lead Scraper,2026-06-29T06:20:26.810590
CREAM-20260629-0113,Melissa,Wilson,melissa.wilson@yahoo.com,(615) 433-8456,Los Angeles,CA,A,12,Senior,70,45,Berkshire Hathaway,CA728685,CREAM Lead Scraper,2026-06-29T06:20:26.810604
CREAM-20260629-0114,Brian,Martinez,brian.martinez@realty.com,(217) 524-2157,Washington,DC,A,19,Senior,68,20,RE/MAX,DC184771,CREAM Lead Scraper,2026-06-29T06:20:26.810620
CREAM-20260629-0115,Jessica,Smith,jessica.smith@realtor.com,(337) 747-5943,Los Angeles,CA,A,20,Senior,98,25,RE/MAX,CA409768,CREAM Lead Scraper,2026-06-29T06:20:26.810632
CREAM-20260629-0116,Rebecca,Johnson,rebecca.johnson@realtor.com,(249) 612-7829,San Francisco,CA,A,24,Senior,99,40,Sotheby's,CA644039,CREAM Lead Scraper,2026-06-29T06:20:26.810643
CREAM-20260629-0117,Kevin,Jackson,kevin.jackson@yahoo.com,(994) 347-8323,Washington,DC,A,15,Senior,68,9,eXp Realty,DC358587,CREAM Lead Scraper,2026-06-29T06:20:26.810655
CREAM-20260629-0118,Joshua,Brown,joshua.brown@realty.com,(247) 471-4996,Chicago,IL,A,13,Senior,76,47,eXp Realty,IL631717,CREAM Lead Scraper,2026-06-29T06:20:26.810666
CREAM-20260629-0119,Daniel,Davis,daniel.davis@realtor.com,(883) 448-9281,Washington,DC,A,17,Senior,66,11,Sotheby's,DC555868,CREAM Lead Scraper,2026-06-29T06:20:26.810678
CREAM-20260629-0120,Matthew,Hernandez,matthew.hernandez@realty.com,(297) 260-4912,Houston,TX,A,24,Senior,70,45,Coldwell Banker,TX505258,CREAM Lead Scraper,2026-06-29T06:20:26.810691
CREAM-20260629-0121,Stephanie,Brown,stephanie.brown@gmail.com,(352) 402-1121,Dallas,TX,A,2,New,96,15,Coldwell Banker,TX996541,CREAM Lead Scraper,2026-06-29T06:20:26.810709
CREAM-20260629-0122,Brandon,Jackson,brandon.jackson@realty.com,(550) 644-4421,Austin,TX,A,20,Senior,89,7,Berkshire Hathaway,TX754296,CREAM Lead Scraper,2026-06-29T06:20:26.810724
CREAM-20260629-0123,Justin,Harris,justin.harris@yahoo.com,(830) 299-3393,Chicago,IL,A,22,Senior,77,13,Keller Williams,IL969075,CREAM Lead Scraper,2026-06-29T06:20:26.810735
CREAM-20260629-0124,Jennifer,Moore,jennifer.moore@realtor.com,(817) 434-2978,Austin,TX,A,3,Mid,70,16,Sotheby's,TX966503,CREAM Lead Scraper,2026-06-29T06:20:26.810750
CREAM-20260629-0125,Christopher,Lee,christopher.lee@sothebysrealty.com,(833) 380-1831,Chicago,IL,A,18,Senior,97,14,eXp Realty,IL917204,CREAM Lead Scraper,2026-06-29T06:20:26.810761
CREAM-20260629-0126,Lauren,Williams,lauren.williams@realtor.com,(417) 417-3275,Boston,MA,A,12,Senior,68,26,eXp Realty,MA858539,CREAM Lead Scraper,2026-06-29T06:20:26.810774
CREAM-20260629-0127,Daniel,Perez,daniel.perez@yahoo.com,(747) 447-2584,San Jose,CA,A,6,Senior,88,14,Berkshire Hathaway,CA724522,CREAM Lead Scraper,2026-06-29T06:20:26.810786
CREAM-20260629-0128,David,Martin,david.martin@realtor.com,(824) 928-2411,Washington,DC,A,13,Senior,89,31,Keller Williams,DC360168,CREAM Lead Scraper,2026-06-29T06:20:26.810798
CREAM-20260629-0129,John,Miller,john.miller@yahoo.com,(855) 997-8097,Denver,CO,A,16,Senior,75,8,Berkshire Hathaway,CO414748,CREAM Lead Scraper,2026-06-29T06:20:26.810810
CREAM-20260629-0130,Michelle,Ramirez,michelle.ramirez@realty.com,(684) 933-3139,Los Angeles,CA,A,7,Senior,91,19,eXp Realty,CA722859,CREAM Lead Scraper,2026-06-29T06:20:26.810821
CREAM-20260629-0131,Lauren,Garcia,lauren.garcia@realty.com,(457) 231-6365,San Diego,CA,A,7,Senior,66,49,Sotheby's,CA473160,CREAM Lead Scraper,2026-06-29T06:20:26.810835
CREAM-20260629-0132,Brandon,Moore,brandon.moore@gmail.com,(791) 248-6320,New York,NY,A,25,Senior,90,36,Compass,NY688034,CREAM Lead Scraper,2026-06-29T06:20:26.810850
