id,name,email,phone,brokerage,city,state,zip,years_experience,transaction_volume,cream_fit_score,priority,lead_source,generated_date
CREAM-20260608-0021,Mary Hernandez,mary.hernandez@email.com,(886)-201-7241,HomeSmart,Tampa,FL,36601,12,26-50,85,B,Daily Scraper,2026-06-08
CREAM-20260608-0022,Thomas Brown,thomas.brown@email.com,(584)-609-3330,Berkshire Hathaway,St. Paul,MN,94160,14,51-100,98,C,Daily Scraper,2026-06-08
CREAM-20260608-0023,Robert Ramirez,robert.ramirez@email.com,(538)-703-9744,Better Homes & Gardens,Omaha,NE,69438,0,100+,71,B,Daily Scraper,2026-06-08
CREAM-20260608-0024,Donald Thompson,donald.thompson@email.com,(527)-427-5665,Sotheby's International,Chula Vista,CA,95141,7,26-50,82,C,Daily Scraper,2026-06-08
CREAM-20260608-0025,Anthony Sanchez,anthony.sanchez@email.com,(458)-993-1677,Exit Realty,St. Paul,MN,21989,10,100+,60,C,Daily Scraper,2026-06-08
CREAM-20260608-0026,Charles Gonzalez,charles.gonzalez@email.com,(775)-140-9083,Sotheby's International,Boise,ID,71934,9,26-50,85,C,Daily Scraper,2026-06-08
CREAM-20260608-0027,Thomas Clark,thomas.clark@email.com,(746)-240-5380,eXp Realty,Kansas City,MO,53632,20,11-25,72,B,Daily Scraper,2026-06-08
CREAM-20260608-0028,Matthew Gonzalez,matthew.gonzalez@email.com,(625)-118-4871,Re/Max,Oklahoma City,OK,31395,21,100+,86,A,Daily Scraper,2026-06-08
CREAM-20260608-0029,Elizabeth Miller,elizabeth.miller@email.com,(216)-286-2683,Exit Realty,Anaheim,CA,76792,5,11-25,69,B,Daily Scraper,2026-06-08
CREAM-20260608-0030,Richard White,richard.white@email.com,(654)-131-5667,Exit Realty,San Diego,CA,59599,19,1-10,94,A,Daily Scraper,2026-06-08
CREAM-20260608-0031,Elizabeth Robinson,elizabeth.robinson@email.com,(556)-795-7782,Redfin,Fort Worth,TX,85609,11,100+,75,A,Daily Scraper,2026-06-08
CREAM-20260608-0032,Daniel Young,daniel.young@email.com,(810)-463-9927,Re/Max,Tampa,FL,81175,15,26-50,91,B,Daily Scraper,2026-06-08
CREAM-20260608-0033,David Anderson,david.anderson@email.com,(776)-799-1034,Keller Williams,Raleigh,NC,49676,3,51-100,83,B,Daily Scraper,2026-06-08
CREAM-20260608-0034,Jennifer Thomas,jennifer.thomas@email.com,(410)-161-3083,eXp Realty,Houston,TX,60782,13,1-10,66,A,Daily Scraper,2026-06-08
CREAM-20260608-0035,William Anderson,william.anderson@email.com,(348)-590-8589,Coldwell Banker,Lubbock,TX,60546,24,11-25,72,C,Daily Scraper,2026-06-08
CREAM-20260608-0036,William White,william.white@email.com,(567)-308-5454, ERA Real Estate,Fresno,CA,94955,8,26-50,75,B,Daily Scraper,2026-06-08
CREAM-20260608-0037,Patricia Jackson,patricia.jackson@email.com,(941)-941-8462, ERA Real Estate,Portland,OR,42564,23,1-10,94,A,Daily Scraper,2026-06-08
CREAM-20260608-0038,Linda Walker,linda.walker@email.com,(496)-525-1668,eXp Realty,Tucson,AZ,52972,13,1-10,68,B,Daily Scraper,2026-06-08
CREAM-20260608-0039,Joseph Thompson,joseph.thompson@email.com,(894)-171-4100,Exit Realty,Madison,WI,80330,11,1-10,97,C,Daily Scraper,2026-06-08
CREAM-20260608-0040,Elizabeth Brown,elizabeth.brown@email.com,(406)-755-4432,Redfin,Las Vegas,NV,43215,6,51-100,70,A,Daily Scraper,2026-06-08
CREAM-20260608-0041,Christopher Davis,christopher.davis@email.com,(777)-539-7175,Sotheby's International,New Orleans,LA,69024,10,100+,61,B,Daily Scraper,2026-06-08
CREAM-20260608-0042,Donald Thompson,donald.thompson@email.com,(304)-985-3139,Compass,Fresno,CA,39400,9,1-10,88,B,Daily Scraper,2026-06-08
CREAM-20260608-0043,Donald Anderson,donald.anderson@email.com,(788)-481-7810,Coldwell Banker,Honolulu,HI,33082,6,51-100,99,B,Daily Scraper,2026-06-08
CREAM-20260608-0044,Patricia Gonzalez,patricia.gonzalez@email.com,(557)-215-4102,Keller Williams,Seattle,WA,16479,17,1-10,80,A,Daily Scraper,2026-06-08
CREAM-20260608-0045,Linda Robinson,linda.robinson@email.com,(288)-120-1957,eXp Realty,New Orleans,LA,69252,23,11-25,100,B,Daily Scraper,2026-06-08
CREAM-20260608-0046,Thomas Harris,thomas.harris@email.com,(717)-243-2972,HomeSmart,Austin,TX,15253,7,1-10,93,A,Daily Scraper,2026-06-08
CREAM-20260608-0047,Jessica Martin,jessica.martin@email.com,(244)-659-4550,Sotheby's International,St. Paul,MN,58436,22,1-10,60,C,Daily Scraper,2026-06-08
CREAM-20260608-0048,Sarah Gonzalez,sarah.gonzalez@email.com,(230)-685-6727, ERA Real Estate,St. Louis,MO,56815,17,26-50,69,C,Daily Scraper,2026-06-08
CREAM-20260608-0049,David Lopez,david.lopez@email.com,(951)-870-5165,HomeSmart,Fort Worth,TX,83958,10,11-25,89,A,Daily Scraper,2026-06-08
CREAM-20260608-0050,David Anderson,david.anderson@email.com,(781)-972-7665,Redfin,Santa Ana,CA,90586,13,51-100,85,B,Daily Scraper,2026-06-08
CREAM-20260608-0051,Lisa Young,lisa.young@email.com,(309)-103-9998, ERA Real Estate,Bakersfield,CA,96453,5,1-10,96,B,Daily Scraper,2026-06-08
CREAM-20260608-0052,Sandra Moore,sandra.moore@email.com,(659)-151-3409,eXp Realty,Anaheim,CA,54934,7,51-100,64,B,Daily Scraper,2026-06-08
CREAM-20260608-0053,Daniel Williams,daniel.williams@email.com,(973)-241-2682,HomeSmart,Memphis,TN,66990,20,26-50,79,A,Daily Scraper,2026-06-08
CREAM-20260608-0054,Christopher Perez,christopher.perez@email.com,(490)-324-6995,Better Homes & Gardens,Newark,NJ,58711,3,51-100,71,C,Daily Scraper,2026-06-08
CREAM-20260608-0055,Matthew Young,matthew.young@email.com,(826)-834-7422,Compass,Kansas City,MO,83453,21,1-10,72,B,Daily Scraper,2026-06-08
CREAM-20260608-0056,Ashley Johnson,ashley.johnson@email.com,(679)-782-7489,Berkshire Hathaway,Houston,TX,38501,13,100+,66,A,Daily Scraper,2026-06-08
CREAM-20260608-0057,Ashley Walker,ashley.walker@email.com,(223)-452-2172,Re/Max,Colorado Springs,CO,19655,25,51-100,97,B,Daily Scraper,2026-06-08
CREAM-20260608-0058,Matthew Thomas,matthew.thomas@email.com,(520)-684-3030,HomeSmart,Detroit,MI,80088,22,26-50,66,A,Daily Scraper,2026-06-08
CREAM-20260608-0059,David Sanchez,david.sanchez@email.com,(897)-594-7224,HomeSmart,San Antonio,TX,11368,0,1-10,77,A,Daily Scraper,2026-06-08
CREAM-20260608-0060,William Jackson,william.jackson@email.com,(567)-728-3573,Redfin,Los Angeles,CA,45367,8,11-25,62,A,Daily Scraper,2026-06-08
CREAM-20260608-0061,Thomas Young,thomas.young@email.com,(582)-165-5995,Better Homes & Gardens,Cleveland,OH,22185,21,100+,88,B,Daily Scraper,2026-06-08
CREAM-20260608-0062,Christopher Thompson,christopher.thompson@email.com,(343)-134-4609,Better Homes & Gardens,Toledo,OH,94974,2,1-10,74,C,Daily Scraper,2026-06-08
CREAM-20260608-0063,John Taylor,john.taylor@email.com,(412)-433-4860,Sotheby's International,Charlotte,NC,82853,24,26-50,70,A,Daily Scraper,2026-06-08
CREAM-20260608-0064,Sandra Anderson,sandra.anderson@email.com,(243)-698-7860,Redfin,Kansas City,MO,67077,18,51-100,66,B,Daily Scraper,2026-06-08
CREAM-20260608-0065,Barbara Ramirez,barbara.ramirez@email.com,(883)-897-8516,Exit Realty,Scottsdale,AZ,75117,18,100+,83,C,Daily Scraper,2026-06-08
CREAM-20260608-0066,Patricia Martin,patricia.martin@email.com,(421)-433-2665,Redfin,Phoenix,AZ,72962,22,1-10,73,A,Daily Scraper,2026-06-08
CREAM-20260608-0067,Matthew Anderson,matthew.anderson@email.com,(630)-922-4815,Better Homes & Gardens,Tulsa,OK,12578,0,100+,96,B,Daily Scraper,2026-06-08
CREAM-20260608-0068,Sarah Lewis,sarah.lewis@email.com,(235)-648-7162,eXp Realty,Milwaukee,WI,34179,10,1-10,76,B,Daily Scraper,2026-06-08
CREAM-20260608-0069,David Martinez,david.martinez@email.com,(747)-454-1232,eXp Realty,Dallas,TX,15101,21,1-10,82,A,Daily Scraper,2026-06-08
CREAM-20260608-0070,Donald Garcia,donald.garcia@email.com,(609)-427-4714,Sotheby's International,Raleigh,NC,91420,19,1-10,95,B,Daily Scraper,2026-06-08
CREAM-20260608-0071,Ashley Jackson,ashley.jackson@email.com,(324)-295-3099,Keller Williams,Raleigh,NC,77096,4,1-10,84,B,Daily Scraper,2026-06-08
CREAM-20260608-0072,Donald Thompson,donald.thompson@email.com,(414)-175-2161,Berkshire Hathaway,Albuquerque,NM,31884,3,1-10,61,B,Daily Scraper,2026-06-08
CREAM-20260608-0073,Joseph Sanchez,joseph.sanchez@email.com,(830)-696-8189,eXp Realty,Philadelphia,PA,48209,17,100+,86,A,Daily Scraper,2026-06-08
CREAM-20260608-0074,Ashley Harris,ashley.harris@email.com,(377)-709-7078,Realty One Group,St. Paul,MN,22190,13,100+,60,C,Daily Scraper,2026-06-08
CREAM-20260608-0075,Matthew White,matthew.white@email.com,(984)-423-6399,Century 21,Boston,MA,95486,22,100+,96,A,Daily Scraper,2026-06-08
CREAM-20260608-0076,Sarah Jackson,sarah.jackson@email.com,(696)-917-6018, ERA Real Estate,New York,NY,80921,20,51-100,85,A,Daily Scraper,2026-06-08
CREAM-20260608-0077,William Davis,william.davis@email.com,(539)-933-7354,eXp Realty,Austin,TX,53828,23,26-50,62,A,Daily Scraper,2026-06-08
CREAM-20260608-0078,Joseph Anderson,joseph.anderson@email.com,(654)-458-4166, ERA Real Estate,Las Vegas,NV,70922,2,11-25,60,A,Daily Scraper,2026-06-08
CREAM-20260608-0079,Patricia Young,patricia.young@email.com,(426)-666-9446,Compass,Newark,NJ,17315,1,11-25,67,C,Daily Scraper,2026-06-08
CREAM-20260608-0080,Margaret Sanchez,margaret.sanchez@email.com,(230)-166-5024,eXp Realty,Phoenix,AZ,11932,21,26-50,90,A,Daily Scraper,2026-06-08
CREAM-20260608-0081,Michael Anderson,michael.anderson@email.com,(861)-282-2894,Better Homes & Gardens,Honolulu,HI,92453,13,51-100,86,B,Daily Scraper,2026-06-08
CREAM-20260608-0082,Matthew Sanchez,matthew.sanchez@email.com,(493)-278-7330,Keller Williams,St. Louis,MO,77500,8,100+,81,C,Daily Scraper,2026-06-08
CREAM-20260608-0083,Sandra Wilson,sandra.wilson@email.com,(724)-294-9438,Better Homes & Gardens,Anaheim,CA,52963,13,11-25,69,B,Daily Scraper,2026-06-08
CREAM-20260608-0084,Daniel Robinson,daniel.robinson@email.com,(464)-858-8075,Berkshire Hathaway,Portland,OR,28793,13,100+,80,A,Daily Scraper,2026-06-08
CREAM-20260608-0085,Charles Lee,charles.lee@email.com,(680)-359-9430,Berkshire Hathaway,Cleveland,OH,36353,17,11-25,82,B,Daily Scraper,2026-06-08
CREAM-20260608-0086,Margaret Martinez,margaret.martinez@email.com,(270)-610-6399,Exit Realty,New York,NY,56497,23,26-50,77,A,Daily Scraper,2026-06-08
CREAM-20260608-0087,Mark Moore,mark.moore@email.com,(999)-375-4769,Re/Max,Cleveland,OH,41137,18,26-50,90,B,Daily Scraper,2026-06-08
CREAM-20260608-0088,Nancy Harris,nancy.harris@email.com,(943)-477-1081,Better Homes & Gardens,Los Angeles,CA,32158,22,26-50,79,A,Daily Scraper,2026-06-08
CREAM-20260608-0089,Betty Jackson,betty.jackson@email.com,(883)-286-1878,Century 21,New York,NY,97325,11,1-10,61,A,Daily Scraper,2026-06-08
CREAM-20260608-0090,Jessica Robinson,jessica.robinson@email.com,(724)-290-7912,Realty One Group,Kansas City,MO,31578,21,11-25,91,B,Daily Scraper,2026-06-08
CREAM-20260608-0091,Donald Smith,donald.smith@email.com,(209)-959-8685,Redfin,Miami,FL,15827,3,26-50,83,B,Daily Scraper,2026-06-08
CREAM-20260608-0092,Patricia Davis,patricia.davis@email.com,(852)-169-6480, ERA Real Estate,Anaheim,CA,45851,0,1-10,86,B,Daily Scraper,2026-06-08
CREAM-20260608-0093,Lisa Martinez,lisa.martinez@email.com,(747)-389-4989,Berkshire Hathaway,Cincinnati,OH,86311,14,100+,66,C,Daily Scraper,2026-06-08
CREAM-20260608-0094,Mary Rodriguez,mary.rodriguez@email.com,(490)-900-8156,HomeSmart,Wichita,KS,13955,20,26-50,84,B,Daily Scraper,2026-06-08
CREAM-20260608-0095,Mark Robinson,mark.robinson@email.com,(470)-641-5895,HomeSmart,San Antonio,TX,88224,7,100+,66,A,Daily Scraper,2026-06-08
CREAM-20260608-0096,David Davis,david.davis@email.com,(251)-824-7102,Better Homes & Gardens,Phoenix,AZ,20052,19,26-50,64,A,Daily Scraper,2026-06-08
CREAM-20260608-0097,Donald Robinson,donald.robinson@email.com,(341)-128-2437,Keller Williams,Omaha,NE,38057,6,1-10,62,B,Daily Scraper,2026-06-08
CREAM-20260608-0098,James Moore,james.moore@email.com,(676)-408-5584,Exit Realty,Irving,TX,95793,22,26-50,76,C,Daily Scraper,2026-06-08
CREAM-20260608-0099,Barbara Johnson,barbara.johnson@email.com,(264)-131-5102,Redfin,Santa Ana,CA,13664,11,51-100,86,B,Daily Scraper,2026-06-08
CREAM-20260608-0100,Barbara Martinez,barbara.martinez@email.com,(776)-163-7169,Keller Williams,New Orleans,LA,20214,10,1-10,93,B,Daily Scraper,2026-06-08
CREAM-20260608-0101,James White,james.white@email.com,(594)-718-1531,Re/Max,Mesa,AZ,31914,21,1-10,66,B,Daily Scraper,2026-06-08
CREAM-20260608-0102,Christopher Walker,christopher.walker@email.com,(836)-469-4944,Realty One Group,Fresno,CA,84804,7,26-50,82,B,Daily Scraper,2026-06-08
CREAM-20260608-0103,Elizabeth Perez,elizabeth.perez@email.com,(758)-976-1896,Coldwell Banker,Austin,TX,64450,11,11-25,77,A,Daily Scraper,2026-06-08
CREAM-20260608-0104,Sandra Sanchez,sandra.sanchez@email.com,(448)-781-9123,Better Homes & Gardens,Spokane,WA,99699,6,26-50,79,C,Daily Scraper,2026-06-08
CREAM-20260608-0105,John Clark,john.clark@email.com,(679)-792-1746,Better Homes & Gardens,Tucson,AZ,50539,11,11-25,87,B,Daily Scraper,2026-06-08
CREAM-20260608-0106,Robert Thompson,robert.thompson@email.com,(547)-101-9119,Coldwell Banker,Colorado Springs,CO,51691,14,100+,86,B,Daily Scraper,2026-06-08
CREAM-20260608-0107,Karen White,karen.white@email.com,(708)-922-5435,Century 21,Washington,DC,68005,21,11-25,74,A,Daily Scraper,2026-06-08
CREAM-20260608-0108,Barbara Thompson,barbara.thompson@email.com,(360)-948-4828,Redfin,Toledo,OH,70931,3,100+,99,C,Daily Scraper,2026-06-08
CREAM-20260608-0109,Karen Jackson,karen.jackson@email.com,(805)-902-7490,Compass,New York,NY,51986,12,100+,84,A,Daily Scraper,2026-06-08
CREAM-20260608-0110,Patricia Rodriguez,patricia.rodriguez@email.com,(977)-360-9255,Coldwell Banker,Raleigh,NC,86066,1,1-10,78,B,Daily Scraper,2026-06-08
CREAM-20260608-0111,Nancy Anderson,nancy.anderson@email.com,(716)-458-7713,Coldwell Banker,Albuquerque,NM,34542,17,100+,85,B,Daily Scraper,2026-06-08
CREAM-20260608-0112,Jessica Miller,jessica.miller@email.com,(622)-385-5913,Coldwell Banker,Fort Worth,TX,31865,14,11-25,96,A,Daily Scraper,2026-06-08
CREAM-20260608-0113,Ashley Taylor,ashley.taylor@email.com,(926)-845-9471,HomeSmart,Chicago,IL,52491,9,26-50,72,A,Daily Scraper,2026-06-08
CREAM-20260608-0114,Karen Thomas,karen.thomas@email.com,(485)-668-6623,Sotheby's International,San Antonio,TX,87157,11,26-50,68,A,Daily Scraper,2026-06-08
CREAM-20260608-0115,William Anderson,william.anderson@email.com,(457)-798-7792,Re/Max,Austin,TX,44900,20,11-25,89,A,Daily Scraper,2026-06-08
CREAM-20260608-0116,Mark Johnson,mark.johnson@email.com,(933)-438-9255,eXp Realty,Bakersfield,CA,46637,4,1-10,70,B,Daily Scraper,2026-06-08
CREAM-20260608-0117,Patricia Martinez,patricia.martinez@email.com,(665)-790-9976,Coldwell Banker,Fresno,CA,11170,17,11-25,74,B,Daily Scraper,2026-06-08
CREAM-20260608-0118,William Hernandez,william.hernandez@email.com,(441)-522-7993,Keller Williams,Oklahoma City,OK,53739,17,11-25,78,A,Daily Scraper,2026-06-08
CREAM-20260608-0119,Anthony Young,anthony.young@email.com,(657)-725-8852,Exit Realty,Cincinnati,OH,93611,14,26-50,72,C,Daily Scraper,2026-06-08
CREAM-20260608-0120,Ashley Miller,ashley.miller@email.com,(468)-233-3377,Berkshire Hathaway,San Antonio,TX,30708,1,11-25,62,A,Daily Scraper,2026-06-08
CREAM-20260608-0121,Linda Lewis,linda.lewis@email.com,(672)-522-2363,Realty One Group,Lubbock,TX,55936,3,26-50,94,C,Daily Scraper,2026-06-08
CREAM-20260608-0122,Barbara Miller,barbara.miller@email.com,(679)-558-9508,Re/Max,Riverside,CA,81262,6,1-10,80,C,Daily Scraper,2026-06-08
CREAM-20260608-0123,Barbara Brown,barbara.brown@email.com,(987)-217-6019,Century 21,Oakland,CA,12243,8,100+,79,B,Daily Scraper,2026-06-08
CREAM-20260608-0124,Michael Gonzalez,michael.gonzalez@email.com,(838)-411-2952,Coldwell Banker,Madison,WI,48534,13,100+,69,C,Daily Scraper,2026-06-08
CREAM-20260608-0125,Linda Lewis,linda.lewis@email.com,(251)-168-7293,Compass,Lubbock,TX,47686,21,51-100,61,C,Daily Scraper,2026-06-08
CREAM-20260608-0126,David Johnson,david.johnson@email.com,(367)-533-9028,Sotheby's International,Lubbock,TX,23058,17,51-100,62,C,Daily Scraper,2026-06-08
CREAM-20260608-0127,Linda Jackson,linda.jackson@email.com,(288)-598-2690, ERA Real Estate,Minneapolis,MN,23168,24,51-100,77,B,Daily Scraper,2026-06-08
CREAM-20260608-0128,Ashley Lewis,ashley.lewis@email.com,(581)-396-6846,eXp Realty,Chicago,IL,21943,21,11-25,71,A,Daily Scraper,2026-06-08
CREAM-20260608-0129,Matthew Walker,matthew.walker@email.com,(496)-177-7894, ERA Real Estate,Dallas,TX,92587,9,26-50,96,A,Daily Scraper,2026-06-08
CREAM-20260608-0130,Karen White,karen.white@email.com,(868)-669-8386,Exit Realty,Atlanta,GA,55216,6,100+,94,B,Daily Scraper,2026-06-08
CREAM-20260608-0131,Elizabeth Davis,elizabeth.davis@email.com,(656)-944-7079,Sotheby's International,Omaha,NE,66489,3,51-100,82,B,Daily Scraper,2026-06-08
CREAM-20260608-0132,Patricia Miller,patricia.miller@email.com,(961)-543-2510,Realty One Group,Boston,MA,42973,0,100+,66,A,Daily Scraper,2026-06-08
CREAM-20260608-0133,Michael Martinez,michael.martinez@email.com,(839)-230-1513, ERA Real Estate,Los Angeles,CA,45715,20,11-25,77,A,Daily Scraper,2026-06-08
CREAM-20260608-0134,Elizabeth Gonzalez,elizabeth.gonzalez@email.com,(209)-891-4315,Exit Realty,Omaha,NE,82864,25,1-10,82,B,Daily Scraper,2026-06-08
CREAM-20260608-0135,Lisa Miller,lisa.miller@email.com,(533)-879-3954,Century 21,Houston,TX,95528,25,26-50,78,A,Daily Scraper,2026-06-08
CREAM-20260608-0136,John Thompson,john.thompson@email.com,(918)-699-1956, ERA Real Estate,Tulsa,OK,64051,19,51-100,61,B,Daily Scraper,2026-06-08
CREAM-20260608-0137,Jennifer Thompson,jennifer.thompson@email.com,(823)-736-1591,eXp Realty,Austin,TX,80808,3,1-10,93,A,Daily Scraper,2026-06-08
CREAM-20260608-0138,William Miller,william.miller@email.com,(799)-256-7352,Century 21,Charlotte,NC,70303,12,26-50,85,A,Daily Scraper,2026-06-08
CREAM-20260608-0139,Barbara Garcia,barbara.garcia@email.com,(647)-144-2774,Redfin,Charlotte,NC,32500,8,11-25,67,A,Daily Scraper,2026-06-08
CREAM-20260608-0140,Susan Thomas,susan.thomas@email.com,(607)-592-6494,Better Homes & Gardens,Chandler,AZ,83788,24,51-100,98,C,Daily Scraper,2026-06-08
CREAM-20260608-0141,Nancy Young,nancy.young@email.com,(679)-812-1368,Re/Max,San Jose,CA,86014,5,100+,78,A,Daily Scraper,2026-06-08
CREAM-20260608-0142,Jessica Walker,jessica.walker@email.com,(271)-813-3508, ERA Real Estate,New Orleans,LA,37962,20,100+,78,B,Daily Scraper,2026-06-08
CREAM-20260608-0143,Betty Moore,betty.moore@email.com,(494)-974-7580,Keller Williams,Reno,NV,41568,17,1-10,76,C,Daily Scraper,2026-06-08
CREAM-20260608-0144,Mary Moore,mary.moore@email.com,(213)-556-2782,Berkshire Hathaway,Nashville,TN,91634,8,11-25,85,A,Daily Scraper,2026-06-08
CREAM-20260608-0145,Lisa Moore,lisa.moore@email.com,(812)-882-9743,Exit Realty,Stockton,CA,38471,22,1-10,73,C,Daily Scraper,2026-06-08
CREAM-20260608-0146,Barbara Moore,barbara.moore@email.com,(956)-301-6977, ERA Real Estate,Houston,TX,37736,21,51-100,87,A,Daily Scraper,2026-06-08
CREAM-20260608-0147,Mark Clark,mark.clark@email.com,(946)-879-6444,eXp Realty,Cincinnati,OH,42297,25,51-100,86,C,Daily Scraper,2026-06-08
CREAM-20260608-0148,Susan Walker,susan.walker@email.com,(641)-913-9321,HomeSmart,Anaheim,CA,22726,10,26-50,88,B,Daily Scraper,2026-06-08
CREAM-20260608-0149,Thomas Brown,thomas.brown@email.com,(667)-498-1586,Coldwell Banker,San Francisco,CA,57442,23,26-50,69,A,Daily Scraper,2026-06-08
CREAM-20260608-0150,Donald Martin,donald.martin@email.com,(990)-902-1748,Redfin,Washington,DC,45573,24,11-25,83,A,Daily Scraper,2026-06-08
CREAM-20260608-0151,John Anderson,john.anderson@email.com,(219)-554-3316,Century 21,Mesa,AZ,27279,9,51-100,94,B,Daily Scraper,2026-06-08
CREAM-20260608-0152,Mary Lopez,mary.lopez@email.com,(393)-791-7647,Compass,Dallas,TX,86153,0,100+,95,A,Daily Scraper,2026-06-08
CREAM-20260608-0153,Nancy Taylor,nancy.taylor@email.com,(903)-561-1579,Coldwell Banker,Santa Ana,CA,12695,12,26-50,75,B,Daily Scraper,2026-06-08
CREAM-20260608-0154,Lisa Wilson,lisa.wilson@email.com,(630)-554-5131,Re/Max,Laredo,TX,86863,8,26-50,86,C,Daily Scraper,2026-06-08
CREAM-20260608-0155,Anthony Smith,anthony.smith@email.com,(979)-285-7464,Redfin,Chula Vista,CA,39929,20,1-10,71,C,Daily Scraper,2026-06-08
CREAM-20260608-0156,Joseph Davis,joseph.davis@email.com,(731)-473-2184,Exit Realty,St. Louis,MO,43523,8,26-50,72,C,Daily Scraper,2026-06-08
CREAM-20260608-0157,Betty Sanchez,betty.sanchez@email.com,(595)-604-1804,Coldwell Banker,Newark,NJ,42613,11,11-25,88,C,Daily Scraper,2026-06-08
CREAM-20260608-0158,James Robinson,james.robinson@email.com,(821)-882-5952,HomeSmart,New Orleans,LA,34539,25,51-100,85,B,Daily Scraper,2026-06-08
CREAM-20260608-0159,Charles Rodriguez,charles.rodriguez@email.com,(495)-537-8050,Century 21,Tulsa,OK,34903,14,51-100,70,B,Daily Scraper,2026-06-08
CREAM-20260608-0160,John Thomas,john.thomas@email.com,(935)-517-9910,Keller Williams,Dallas,TX,65995,3,26-50,74,A,Daily Scraper,2026-06-08
CREAM-20260608-0161,Betty Perez,betty.perez@email.com,(765)-753-4397,Better Homes & Gardens,Fort Worth,TX,91848,5,26-50,70,A,Daily Scraper,2026-06-08
CREAM-20260608-0162,David Martin,david.martin@email.com,(670)-767-3987, ERA Real Estate,Tampa,FL,23429,9,26-50,66,B,Daily Scraper,2026-06-08
CREAM-20260608-0163,William Clark,william.clark@email.com,(659)-800-2399,Better Homes & Gardens,Seattle,WA,79167,20,51-100,84,A,Daily Scraper,2026-06-08
CREAM-20260608-0164,Mary Miller,mary.miller@email.com,(972)-817-7302,Berkshire Hathaway,Lexington,KY,79343,4,11-25,62,C,Daily Scraper,2026-06-08
CREAM-20260608-0165,Patricia White,patricia.white@email.com,(845)-433-6158,eXp Realty,San Jose,CA,46532,24,100+,62,A,Daily Scraper,2026-06-08
